year,delta_slr_p05_unw_cm,delta_slr_p17_unw_cm,delta_slr_p50_unw_cm,delta_slr_p83_unw_cm,delta_slr_p95_unw_cm,delta_slr_p05_cm,delta_slr_p17_cm,delta_slr_p50_cm,delta_slr_p83_cm,delta_slr_p95_cm,delta_slr_mean_cm,delta_slr_mean_unw_cm,n_tuples
2032,-7.662359567222055e-05,-6.994005570934547e-05,-5.800139779843505e-05,-4.03740180707679e-05,-3.8778601790934176e-05,-8.301772868999762e-05,-8.090318783831869e-05,-6.474370362447781e-05,-5.465159108515241e-05,-4.644924541232928e-05,-6.513180688032553e-05,-5.65662771030591e-05,54000
2033,-0.0001112645746446539,-9.816098103819115e-05,-8.110894316182282e-05,-5.879220829310583e-05,-5.5006204105190196e-05,-0.0001200121150950051,-0.00011587982213420522,-9.167911925706978e-05,-7.903240760796905e-05,-6.930837244516651e-05,-9.377629486589492e-05,-8.111786613041948e-05,54000
2034,-0.00014290329699013783,-0.0001254235860747599,-0.00010239590006833055,-7.653534448952115e-05,-6.959753209994091e-05,-0.00015291421702014597,-0.00014740663601961793,-0.00011659809098578538,-0.00010145384662143681,-8.978500571226978e-05,-0.00012001234457575114,-0.00010350761754200775,54000
2035,-0.00017219738166529552,-0.00015039120888562962,-0.00012273955510000434,-9.302965128100027e-05,-8.440858201801405e-05,-0.00018376850728439383,-0.00017649593166737558,-0.00013930710366706544,-0.00012221113345573642,-0.00010883030024039293,-0.00014400566224837008,-0.00012390686393540823,54000
2036,-0.00019901478065182944,-0.00017379381864465415,-0.00014246614210833286,-0.00010804576728775217,-9.889826402300629e-05,-0.00021206758558412243,-0.000202283996125446,-0.00015968433236152575,-0.00014143839149863055,-0.00012615352107825213,-0.00019991224715144493,-0.00015958673051716924,54000
2037,-0.00022341066015281187,-0.00019556370197850725,-0.00015828252650518237,-0.00012180005604534472,-0.00011208805905615904,-0.0002378373051209278,-0.00022580231255614884,-0.00017846453589026468,-0.00015707596290974723,-0.0001388200060295987,-0.0002654453634739607,-0.0002108063692446551,54000
2038,-0.00024547109777826035,-0.00021563501577212207,-0.00017259721675522144,-0.00013443208941156472,-0.00012386782502176176,-0.00026163867534630147,-0.00024752171460064743,-0.0001956540740851208,-0.00016978490996602237,-0.0001496869747012068,-0.0005784071119073982,-0.0002917229919176982,54000
2039,-0.0002655084687103404,-0.00023398411946642383,-0.0001861375027454315,-0.00014603969411474793,-0.00013444391425041505,-0.00028357119636268543,-0.0002673770150961685,-0.00021110688984701353,-0.00018338777565969378,-0.00015926602259720338,-0.0006192176364689682,-0.0003235068751000802,54000
2040,-0.00028384709930717733,-0.0002508497476826044,-0.0001990328733150193,-0.00015678509098373538,-0.00014406430657354363,-0.00030378986570401347,-0.00028594019837037854,-0.00022475484513193245,-0.00019683646648796803,-0.00016779314248216955,-0.000640335026401893,-0.00036975866747715615,54000
2041,-0.00030050349349188823,-0.00026577168023077745,-0.0002105612930227707,-0.00016691776275393978,-0.0001529859319866489,-0.000322517924087258,-0.0003027765984942636,-0.00023725544121699964,-0.00020867872629532177,-0.00017567894075738288,-0.0007063248158671795,-0.0003980085499651523,54000
2042,-0.0003156907139590714,-0.00027964616405371954,-0.00022082773734677374,-0.00017608848021662737,-0.00016106643819222555,-0.0003397232765078844,-0.00031824431828973417,-0.00024852630115899287,-0.00021923294162723666,-0.0001830238091243049,-0.0008270131136618866,-0.00045928334955014263,54000
2043,-0.0003296903058805256,-0.0002923152734647516,-0.00022992656219766872,-0.00018448252147145182,-0.0001683802094972542,-0.0003555261168898327,-0.00033268729449282186,-0.000259632593626101,-0.00022877580788544308,-0.00019008903917017129,-0.000839717347787573,-0.00046974047143311885,54000
2044,-0.00034259653293755576,-0.0003038300554789686,-0.0002384731226063863,-0.00019189378892111363,-0.00017525150574613236,-0.0003700496592311052,-0.00034570354614376334,-0.000269220906399385,-0.00023687318310675962,-0.0001972833150531547,-0.0008724931560098246,-0.0005472917584046314,54000
2045,-0.00035485106691712787,-0.00031444269380095593,-0.00024610636660682417,-0.00019857476923148098,-0.00018141742077180112,-0.0003837602803234223,-0.00035837914170194687,-0.00027769726193655397,-0.0002446288462606857,-0.00020435395162058444,-0.0009181001258322854,-0.0006234822183163133,54000
2046,-0.00036616967396430056,-0.00032452752770719686,-0.0002532978768972072,-0.0002047846854922497,-0.00018716555605831077,-0.0003960016819061697,-0.0003695384306667839,-0.00028522926474746214,-0.0002516257918402423,-0.0002111979182566985,-0.0009356441702134356,-0.0006488594117863713,54000
2047,-0.0003767977779185472,-0.00033395226079900196,-0.00025987290012530195,-0.00021066110440020935,-0.00019243257206511544,-0.00040773137658753697,-0.000380274795141172,-0.00029233508860222155,-0.00025861685240757874,-0.00021780668979527615,-0.0010287350031439606,-0.0006893266683059141,54000
2048,-0.0003869873271227675,-0.00034281505912240104,-0.0002662772265633606,-0.0002161687948208879,-0.00019734061296752258,-0.00041827015201157243,-0.0003905483146497596,-0.000299095129543057,-0.00026500340129487394,-0.0002239179315830074,-0.0010387241674309731,-0.0007133179672088418,54000
2049,-0.0003964942308900987,-0.0003514142325821723,-0.0002723254895169447,-0.00022139931198442042,-0.00020181634853742026,-0.0004279357311300654,-0.0003999745937487249,-0.00030582958320240534,-0.0002710051819509245,-0.00022946168472878442,-0.0011738436212080548,-0.0008028629677283408,54000
2050,-0.00040551713917746923,-0.000359190451765663,-0.00027797533243223427,-0.00022617358691608304,-0.0002058480553024822,-0.00043710901851963193,-0.0004085446754798886,-0.00031210208955856296,-0.0002765091678177973,-0.00023406689665098502,-0.0011856959272958515,-0.0008262602814071134,54000
2051,-0.0004137606824043516,-0.00036651061588280245,-0.00028329801162207957,-0.00023060836569349874,-0.00020959484278346708,-0.00044575967748544437,-0.0004167699822305671,-0.0003182048665151942,-0.00028142748279159446,-0.00023785004878033552,-0.0012264827881550752,-0.0008817539905601574,54000
2052,-0.00042147278191606574,-0.00037346892458927527,-0.0002884478620313047,-0.00023486030394522572,-0.00021297413144090173,-0.0004534596463946331,-0.0004245235464658939,-0.0003237972909439209,-0.0002860813045510007,-0.0002414138140502915,-0.0012853235113456382,-0.000974306088692456,54000
2053,-0.0004285009292194886,-0.000379961358624783,-0.0002932167726292789,-0.00023863454191261013,-0.00021623596183033563,-0.0004605360663057494,-0.0004318721459134736,-0.0003292315326657296,-0.0002902206050283756,-0.0002446127560698763,-0.0013855541404087148,-0.0010125120531750554,54000
2054,-0.00043520343716743073,-0.00038603504896901343,-0.0002977237667405319,-0.00024219366532399534,-0.00021904638196286187,-0.0004670776414804735,-0.00043853865005449806,-0.00033446222096224085,-0.00029401268425951837,-0.00024760884206747794,-0.001418499844395282,-0.0010509346478788308,54000
