year,delta_slr_p05_unw_cm,delta_slr_p17_unw_cm,delta_slr_p50_unw_cm,delta_slr_p83_unw_cm,delta_slr_p95_unw_cm,delta_slr_p05_cm,delta_slr_p17_cm,delta_slr_p50_cm,delta_slr_p83_cm,delta_slr_p95_cm,delta_slr_mean_cm,delta_slr_mean_unw_cm,n_tuples
2169,-0.011395919234034579,-0.009223925054915583,-0.006994715775064719,-0.005218624373586635,-0.004160773979465659,-0.01212576096356996,-0.01004709502278449,-0.007957082607480332,-0.006124836314990856,-0.004820658176885041,-0.022836902254218583,-0.026357753190781905,10000
2170,-0.011448846307774829,-0.009254412329437968,-0.007015250695104669,-0.005228470453210434,-0.004169022389034896,-0.012186135701308314,-0.010087361225252072,-0.007981910949019766,-0.00614037925535365,-0.004830906945627014,-0.02288072362771619,-0.026493213920391088,10000
2171,-0.01150387994580484,-0.009290753487032077,-0.00703850278185314,-0.005240196167618478,-0.00417420888991842,-0.012260412667677759,-0.010123597277009741,-0.008009635286072318,-0.0061538707206413796,-0.004836172669402604,-0.022914566053797804,-0.026629377249101437,10000
2172,-0.011563648739073073,-0.009328240801287392,-0.007058348448566676,-0.005251722765261774,-0.004177202754863174,-0.012309181281635051,-0.010161708425603226,-0.008038178435365622,-0.006165152565531971,-0.004839939347151435,-0.022942947838434816,-0.026765412332478037,10000
2173,-0.011611112150042402,-0.009363604966919752,-0.0070806598140933374,-0.005261889518470184,-0.004183562742194269,-0.012362917333458978,-0.010202407653946036,-0.008062210500410817,-0.006178365203427678,-0.0048475780133149715,-0.0229707684499559,-0.02690114918205567,10000
2174,-0.011662275948846456,-0.009399766056705942,-0.007101188593757968,-0.005273404584737591,-0.004189459927489026,-0.012412806547911052,-0.01023629088137139,-0.008087198943573883,-0.006189461974540396,-0.00484525334100889,-0.022993883061212392,-0.026916843785996805,10000
2175,-0.011720429558671697,-0.009434229691148984,-0.00711955179892243,-0.005283639666058662,-0.004196030368630943,-0.012463746252140596,-0.010273891995114793,-0.0081148082414139,-0.006203233987214657,-0.004854339739267703,-0.02301684434140844,-0.0269314037872919,10000
2176,-0.011765984621371217,-0.009471137201993258,-0.0071357993471963255,-0.005290742383849931,-0.004201022452662073,-0.01251907690186348,-0.010321127172312776,-0.008142867408101957,-0.006217195195303307,-0.0048638901696509565,-0.023039753553386402,-0.02694585151205565,10000
2177,-0.011824574658501775,-0.00950621503382763,-0.007158427492328201,-0.005301422689415744,-0.004205345396360017,-0.012574641398627531,-0.010359020242948299,-0.008167178105127843,-0.006233956559810393,-0.004870689854429426,-0.023062457512440068,-0.027080138121503495,10000
2178,-0.011878792475164346,-0.00954082785596114,-0.007179907080967496,-0.00530782944020757,-0.004206559605362161,-0.012613762011313992,-0.010395340724878438,-0.008195397998580729,-0.006249477016086825,-0.004876856896419414,-0.02310256105226339,-0.027187482988232904,10000
2179,-0.01193371388639406,-0.009574640806907836,-0.007197590552735278,-0.005317090177252197,-0.004209697467578622,-0.01265890150305776,-0.010442476106849218,-0.008216373829849972,-0.006263943306549926,-0.00488372880906871,-0.02320218774119675,-0.027294144563033064,10000
2180,-0.011983887193231624,-0.00960845450824479,-0.007220060616646151,-0.005323667137206059,-0.00421387223326093,-0.01272601270671025,-0.010489547707631663,-0.008243669197177663,-0.0062805815769393656,-0.004891430222260994,-0.02322521557247495,-0.02730870309376824,10000
2181,-0.012038633714792014,-0.009637548449987036,-0.007239329842359865,-0.005333371578208101,-0.004220220715507851,-0.012789215424888868,-0.010526175429745334,-0.00827059355738867,-0.006294849754605847,-0.004894531515655439,-0.02324899697092181,-0.027442274052641154,10000
2182,-0.012096190941048236,-0.009675068338117824,-0.00726284879495509,-0.005341580031309832,-0.004220027961257245,-0.012844172589772117,-0.010567153412842646,-0.00829625403038368,-0.006306725893523904,-0.004898064518100711,-0.023271271850796513,-0.027461325919631564,10000
2183,-0.012150577370738347,-0.009709475507520224,-0.0072834483460617605,-0.005350046106232042,-0.004225199675112636,-0.012896404688913248,-0.01060381401622696,-0.00832042446211882,-0.006320456942396012,-0.00490289681035427,-0.023293277103059833,-0.027474899902374908,10000
2184,-0.012218639427952382,-0.009747064114297785,-0.007304044084705197,-0.005356648044216996,-0.004227938832046619,-0.012969818121503905,-0.010645116299776587,-0.008346975641872674,-0.006333912211378291,-0.004914287966311305,-0.02340507172804184,-0.02769460122214105,10000
2185,-0.012277946472531198,-0.009783245448962247,-0.007323650269867699,-0.0053635306902854295,-0.004228356581189985,-0.013040172213942812,-0.01068040812807385,-0.008374724774909501,-0.006344854343202359,-0.004911195780771629,-0.023570287828304733,-0.027920176882551447,10000
2186,-0.012332335238298242,-0.009813649899162159,-0.007344453194264133,-0.0053724056324612945,-0.0042302943626822305,-0.01310531211447087,-0.010721707296308877,-0.008396807992868398,-0.006355042272883457,-0.0049147564110900615,-0.023593205833594793,-0.027935103569765293,10000
2187,-0.01239566980990361,-0.009845978134718792,-0.007364664883255045,-0.005379078459243374,-0.004235714383717948,-0.013195747123493334,-0.010761651066019383,-0.008419933948627641,-0.0063654564666612784,-0.004915753913619076,-0.023627097614850257,-0.02803905123895256,10000
2188,-0.0124510376410214,-0.009876624836859662,-0.007380668843673277,-0.005385669365492305,-0.004238881814971054,-0.01324761422617945,-0.01080584897078271,-0.008441938723802651,-0.006379444441347535,-0.004919427573731588,-0.02365889008794013,-0.028172362101095645,10000
2189,-0.012507639841987838,-0.00991095601419687,-0.007398370776030561,-0.005395587182599826,-0.004241718240217553,-0.013289230233720457,-0.01084692373578409,-0.008463434799427178,-0.006393178128389981,-0.004922400742527515,-0.02369135573636616,-0.028272538263288436,10000
2190,-0.012567401154461777,-0.009943535683039783,-0.007415768154132252,-0.005401432584882713,-0.004244284284879286,-0.013333502538706231,-0.01088880199323236,-0.008489021122490082,-0.006401516722525048,-0.004930138707212767,-0.023828594700804374,-0.028469978471693618,10000
2191,-0.012625615494353325,-0.009978100426318122,-0.007435168146443516,-0.0054079436345887185,-0.0042476571346995225,-0.013397392312445305,-0.01093626806510747,-0.008516981701872688,-0.006409935978629238,-0.00493514309062827,-0.02408404872414435,-0.02866219860247522,10000
2192,-0.012707615265465221,-0.010008425562770639,-0.007451429735503723,-0.005413153377905928,-0.004248401572267824,-0.013443501391902353,-0.010978312614847269,-0.008538887096247746,-0.006420877923022362,-0.0049488431770915815,-0.02411939131311957,-0.028795604773024338,10000
2193,-0.012767252344001178,-0.010042151749563003,-0.0074686949118358825,-0.005419663386823288,-0.004251002993132147,-0.013491045696055456,-0.011020395697007052,-0.008559289722572798,-0.006431641647314817,-0.004956478073744028,-0.024285449089161165,-0.028900812993671286,10000
2194,-0.012824935091128965,-0.01007563513061399,-0.00748193105818018,-0.005426471348415873,-0.004251758575665577,-0.013544634639955793,-0.011062567775533726,-0.008582393851889318,-0.006442407799671216,-0.0049653522723724,-0.024307248524668458,-0.028913418756687473,10000
2195,-0.012869051653119357,-0.010101040089775495,-0.007499270239776479,-0.005432824299291923,-0.00425254825657504,-0.013605032343531751,-0.011102948927709603,-0.008608762809871197,-0.006450733521121064,-0.004977312602041111,-0.024328123613095252,-0.028925380472646617,10000
2196,-0.012932770585200615,-0.010137084415889888,-0.0075139242096042835,-0.00544103443983559,-0.004253464847209899,-0.013672565516385064,-0.011138550974836613,-0.008635503677455117,-0.006461772772204393,-0.004985406774089297,-0.024372571939189024,-0.029029456932407244,10000
2197,-0.013020275017544236,-0.010167312814298838,-0.007531277236751066,-0.005446028071643099,-0.004255028687047968,-0.013762737339559942,-0.01117166960670639,-0.008656659029089403,-0.006472362410451707,-0.004989447471543717,-0.02459370623514656,-0.029220513661648448,10000
2198,-0.013080209121805807,-0.010207263463960316,-0.007547140503589844,-0.0054530939609972505,-0.004255599047498037,-0.013861878119318076,-0.011209038986893126,-0.008678102721996837,-0.006484650730303364,-0.004989386574114729,-0.02469342136871315,-0.029445540917768038,10000
2199,-0.013132756543166124,-0.010241264286312344,-0.007564054159843181,-0.005459666499702678,-0.004255621873532791,-0.013923754067022447,-0.011243582801860413,-0.008705145059260922,-0.006495146662276917,-0.004989315835874653,-0.02471589958512528,-0.02957859180287311,10000
2200,-0.013200029717549456,-0.010272540230205606,-0.007578001881384466,-0.005467218515809122,-0.004257327891698993,-0.013977985382375054,-0.011278769110354608,-0.008727614782183521,-0.006505787467659192,-0.0049876038430829925,-0.02473646951022114,-0.029591041796968063,10000
2201,-0.013256184457891606,-0.010303261835146032,-0.007592894090137747,-0.005474675127854311,-0.004258896861337291,-0.014037257335664816,-0.011321542896737577,-0.008750860304351002,-0.00651790467929089,-0.004997344868066288,-0.025009510733307077,-0.02978104534923412,10000
2202,-0.01334184848911093,-0.010338988180733963,-0.007610606126206676,-0.005480319441569748,-0.004259530584344874,-0.01409083044856329,-0.011362031609914391,-0.008773533842143638,-0.006528377975625283,-0.005003923509178363,-0.025222357308051422,-0.030119956329560667,10000
2203,-0.013441764945839907,-0.01037046747538028,-0.007626831580154203,-0.005485865717322724,-0.004259318099691712,-0.014149619851261922,-0.01140102313142922,-0.008799299908224931,-0.006538427179743459,-0.005014201953051388,-0.02530156930915497,-0.03031666983337587,10000
2204,-0.013509403099587302,-0.010404427937716036,-0.007645327684272729,-0.005492564232495738,-0.0042632141592552145,-0.014202760796560902,-0.011439557423046285,-0.00882313075850718,-0.006551330911667201,-0.0050184029399957435,-0.02543483586666207,-0.03041570240919077,10000
2205,-0.013578698892993657,-0.010439514830952987,-0.007661542629108453,-0.005498186444083046,-0.004259822177969852,-0.014268097179537816,-0.011475646963005407,-0.00884551401031761,-0.0065623953635999275,-0.0050263952465626725,-0.02545587045728087,-0.030427362125268597,10000
2206,-0.013652406902183145,-0.010472528082698601,-0.007679721881245882,-0.005504357283893881,-0.00426193364341998,-0.014322513547942443,-0.01150453365327932,-0.008868544887545139,-0.006573898663237216,-0.005028810072883223,-0.02551688817666114,-0.030644582575631022,10000
