version,species,unit,component,year,n,ess_fraction,q05,q50,q95,mean,q05u,q50u,q95u,meanu
brick2,ch4,cm/Tg,te,2150,10000,0.5,7.271986661207208e-05,0.0001395710735241288,0.00023712642944149592,0.00014535888906477658,6.913748412173947e-05,0.0001297674190254847,0.00021797370081346333,0.0001349754211892117
brick2,ch4,cm/Tg,te,2300,10000,0.5,2.4238886273518632e-05,8.169688725482806e-05,0.00016351326509282142,8.586729344990725e-05,2.3300660252800686e-05,7.574471255367378e-05,0.00014930788927364723,7.982902779589442e-05
brick2,ch4,cm/Tg,lws,2100,10000,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brick2,ch4,cm/Tg,lws,2150,10000,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brick2,ch4,cm/Tg,lws,2300,10000,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mengel,co2,cm/GtCO2,total,2100,10000,1.0,0.003229249853120558,0.004694034205954339,0.006683090893492846,0.04258815904071514,0.003229249853120558,0.004694034205954339,0.006683090893492846,0.04258815904071515
mengel,co2,cm/GtCO2,total,2150,10000,1.0,0.004190012688809474,0.006733415361282122,0.010310318378974684,0.05661785453750609,0.004190012688809474,0.006733415361282122,0.010310318378974684,0.056617854537506104
mengel,co2,cm/GtCO2,total,2300,10000,1.0,0.005991976779284856,0.0115166828777548,0.02105726246100515,0.059498471224280786,0.005991976779284856,0.0115166828777548,0.02105726246100515,0.0594984712242808
mengel,co2,cm/GtCO2,ais,2100,10000,1.0,0.0004990453177811103,0.0008993766932974549,0.0016090214984392883,0.038750412398152544,0.0004990453177811103,0.0008993766932974549,0.0016090214984392883,0.03875041239815255
mengel,co2,cm/GtCO2,ais,2150,10000,1.0,0.0008411160967725085,0.0016320987441531738,0.0033136616607980945,0.05147385923706929,0.0008411160967725085,0.0016320987441531738,0.0033136616607980945,0.05147385923706931
mengel,co2,cm/GtCO2,ais,2300,10000,1.0,0.0016444291265571562,0.0037763442890082176,0.010161950797287558,0.05177420644918163,0.0016444291265571562,0.0037763442890082176,0.010161950797287558,0.051774206449181646
mengel,co2,cm/GtCO2,gsic,2100,10000,1.0,0.00016281252985805836,0.00030301858293668753,0.0005627491594496739,0.0003255907369740818,0.00016281252985805836,0.00030301858293668753,0.0005627491594496739,0.0003255907369740818
mengel,co2,cm/GtCO2,gsic,2150,10000,1.0,0.00010725529051569518,0.0002741477167944689,0.0006825963714263393,0.0003197905125883782,0.00010725529051569518,0.0002741477167944689,0.0006825963714263393,0.0003197905125883782
mengel,co2,cm/GtCO2,gsic,2300,10000,1.0,3.496649405576588e-05,0.00019210604165209648,0.0011129475284480219,0.00034799883022805506,3.496649405576588e-05,0.00019210604165209648,0.0011129475284480219,0.0003479988302280551
mengel,co2,cm/GtCO2,gis,2100,10000,1.0,0.0001783972880531331,0.0005072858310306616,0.001207559758676085,0.0005771395799992084,0.0001783972880531331,0.0005072858310306616,0.001207559758676085,0.0005771395799992086
mengel,co2,cm/GtCO2,gis,2150,10000,1.0,0.00028835186682840637,0.0008462428448652832,0.002103141936160577,0.0009772113537760683,0.00028835186682840637,0.0008462428448652832,0.002103141936160577,0.0009772113537760685
mengel,co2,cm/GtCO2,gis,2300,10000,1.0,0.0005568322873017443,0.0017116833550545963,0.004614498872260616,0.002034735137346217,0.0005568322873017443,0.0017116833550545963,0.004614498872260616,0.0020347351373462175
mengel,co2,cm/GtCO2,te,2100,10000,1.0,0.0018679721286218819,0.002896177777955717,0.00411837509020217,0.002935016325607504,0.0018679721286218819,0.002896177777955717,0.00411837509020217,0.0029350163256075044
mengel,co2,cm/GtCO2,te,2150,10000,1.0,0.0021998051749960693,0.0038073468637380087,0.005661277815605167,0.0038469934340876126,0.0021998051749960693,0.0038073468637380087,0.005661277815605167,0.0038469934340876135
mengel,co2,cm/GtCO2,te,2300,10000,1.0,0.0024538427341624877,0.005242330312427431,0.008719932343130102,0.005341530807521552,0.0024538427341624877,0.005242330312427431,0.008719932343130102,0.005341530807521552
mengel,co2,cm/GtCO2,lws,2100,10000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
