year,mean,p5,p50,p95,mean_AIS_tipping,mean_AIS_quiescent,frac_AIS_tipping
2187,0.16889462351636755,0.03604695788553158,0.08329554169671383,0.8827265504449429,0.19141516516198304,0.1501285336449582,0.45453187101667497
2188,0.16925822902856438,0.03620726100788829,0.08371643634541215,0.8826507158147479,0.19183205668333858,0.15044773658227498,0.45453187101667497
2189,0.16961952692153273,0.036380903543573595,0.08411999132908932,0.8825692776722462,0.19224548152863333,0.15076559772814047,0.45453187101667497
2190,0.1699792163716455,0.03655059647846315,0.08451186026093183,0.88247916499148,0.19265488247577983,0.1510838632002842,0.45453187101667497
2191,0.17033694657725995,0.036723562884844796,0.0849166336470546,0.8823843077590254,0.1930612657239478,0.15140105142500657,0.45453187101667497
2192,0.1706919875596666,0.03684715072159861,0.08532016344415183,0.8822796581198986,0.19346563335890435,0.15171498911561077,0.45453187101667497
2193,0.17255729968091574,0.036970348675140485,0.08576834994482851,0.909877496746617,0.19386568646159644,0.15480128352315806,0.45453187101667497
2194,0.1729157374594037,0.037085949707091004,0.08616551652897897,0.9102815607778325,0.19426236530609456,0.15512785549251862,0.45453187101667497
2195,0.17326155222796213,0.03720459173678137,0.08656316488071525,0.9106633014468457,0.19465435146833007,0.15543519620761656,0.45453187101667497
2196,0.17360565623201432,0.0373208725085874,0.08695552552677555,0.9110497521623699,0.1950432257718278,0.15574199367276811,0.45453187101667497
2197,0.1739470094435511,0.03734727969214191,0.08734873123700027,0.911424525927572,0.1954283172068834,0.15604690036155752,0.45453187101667497
2198,0.17585305615104407,0.03736665935446126,0.08773621048857194,0.9117930447536082,0.19581049317505458,0.15922276978009045,0.45453187101667497
2199,0.17621252870895562,0.037471691475829516,0.08810245832444252,0.9121532071875436,0.19620717368489632,0.15955123741010813,0.45453187101667497
2200,0.17811476152285666,0.03761646079901482,0.0884844297777363,0.9124804878416342,0.19658442272084384,0.16272422041642692,0.45453187101667497
2201,0.1784618308843111,0.03776091527257108,0.08885651142423967,0.912819663141164,0.196958424323499,0.16304884747312848,0.45453187101667497
2202,0.18200793769196516,0.03790389774970038,0.08921809144680992,0.9131554427173967,0.19732845430166,0.16924153996946958,0.45453187101667497
2203,0.18236253035737537,0.038052677462658835,0.08959068804239223,0.9135095971491296,0.1976940951618217,0.16958692631032124,0.45453187101667497
2204,0.18269373061779215,0.03820135461080554,0.0899696904305074,0.913878094807302,0.19806002651689145,0.16988918557749522,0.45453187101667497
2205,0.18301602550877918,0.038346726908869755,0.09035934265114065,0.9142199496563421,0.19842085016021582,0.17017937493388313,0.45453187101667497
2206,0.1833347597893834,0.03849188326405795,0.09074667830469707,0.9145353004951176,0.19877717318563692,0.1704667869765728,0.45453187101667497
2207,0.18365235180082948,0.038636369153934425,0.09112459391531047,0.9148622108382938,0.19913204138697035,0.17075331719827613,0.45453187101667497
2208,0.18450564399320918,0.03877413837302868,0.09132508924903959,0.9151936188712,0.19948307847438393,0.17202513238119868,0.45453187101667497
2209,0.18482117842016382,0.03891447997197872,0.09165822093245879,0.9155429934939718,0.19983056120757794,0.1723140446782081,0.45453187101667497
