year,V_total,V_emissions,V_climate,V_internal,V_brick,mean,f_emissions,f_climate,f_internal,f_brick,p5,p50,p95
2109,0.01801557893138526,0.00019193386948638115,0.0003227566148128729,0.0029081799749528185,0.014592708472133188,0.022129776499989717,0.010653771950231903,0.017915417319761668,0.16142584071425128,0.8100049700157551,0.004628597954564384,0.0068897012581317085,0.008306923486571804
2110,0.018049759265320507,0.0001914995496455096,0.0003222914031650807,0.0029058172926233247,0.014630151019886593,0.022205148269587062,0.01060953483260261,0.017855717543242135,0.16098925475456896,0.8105454928695863,0.0046637929672783685,0.0069383161959706285,0.008379468745630447
2111,0.018205282321856715,0.00019123262988639562,0.00032309577982506934,0.0029723523775587067,0.014718601534586543,0.022413015994281308,0.01050423863280645,0.01774736442494881,0.16326867801386358,0.8084797189283811,0.004694322346736612,0.006985365547947708,0.008454038613820103
2112,0.018231052964553213,0.00019131128806614846,0.00032086744767305473,0.0029631708903026114,0.014755703338511398,0.02247758671692223,0.010493704803453569,0.017600050216348993,0.1625342702949703,0.8093719746852271,0.0047244303062825566,0.007030913299828967,0.008525009905781644
2113,0.018249708780377693,0.00019176825209461264,0.00032314175584094375,0.0029616682340659374,0.0147731305383762,0.0225447056237012,0.010508017108788289,0.01770668013006266,0.16228578054080287,0.8094995222203463,0.004755408887959334,0.007075485021971417,0.00859674429949564
2114,0.018260496743910205,0.0001917971977227505,0.0003228300531677244,0.0029717557706324714,0.014774113722387258,0.02260578019086613,0.010503394316844859,0.0176791495705278,0.1627423291003044,0.8090751270123229,0.004788005280431662,0.007119000915821516,0.008668722824353381
2115,0.018298229780423017,0.00019130116888224795,0.00032674625357059697,0.002967557538239557,0.014812624819730613,0.02268390947932154,0.010454627096601334,0.017856713872954944,0.16217730205872152,0.809511356971722,0.00482166815206142,0.00716467112420105,0.008740773927200962
2116,0.01834336005860031,0.00019099768550425453,0.0003331307805870267,0.0029840961514435854,0.014835135441065446,0.02277967112908355,0.010412360924829854,0.018160837465044353,0.16267990934651513,0.8087468922636107,0.004850062970945146,0.007208743624673275,0.008810447095527252
2117,0.018357759934049103,0.00019064870881429534,0.0003298353909895154,0.002987676229860745,0.01484959960438455,0.022833505442979834,0.010385183677050333,0.017967082703688284,0.1627473199668193,0.8089004136524421,0.004878561235415191,0.007252620457791181,0.008880633172594798
2118,0.01834646371781478,0.00019059351709243538,0.0003295759310383661,0.002986719134534706,0.014839575135149274,0.022874151663263332,0.010388569700621122,0.01796400309659356,0.16279535830300323,0.8088520688997822,0.004907368190366412,0.007296155883295796,0.008949318490778069
2119,0.018338409829197877,0.0001905275419880186,0.0003293115463623667,0.0029839660403881583,0.014834604700459334,0.022916199136903417,0.010389534521399247,0.017957475562469245,0.16271672779594964,0.8089362621201819,0.0049380211350609216,0.007340531265413119,0.009017328406798697
2120,0.018404998882789694,0.00019034792629978834,0.0003274893289366208,0.0029622456480279504,0.014924915979525336,0.02299199027712382,0.010342186245812844,0.017793498984824845,0.16094788523991232,0.8109164295294501,0.0049678548441676185,0.007384464760320952,0.009089130924138544
2121,0.018411718766153117,0.00019006480811908647,0.000326212919695682,0.002959951707951009,0.014935489330387339,0.023044476899814603,0.010323034504985434,0.017717678823954787,0.1607645514004042,0.8111947352706556,0.004998343427232044,0.007426279935032198,0.009157584602832003
2122,0.018482217194252817,0.00018890847357462835,0.00032390379680737307,0.002971315434034192,0.014998089489836625,0.023154181078248414,0.01022109369179856,0.017525159097691666,0.1607661787979715,0.8114875684125383,0.005024373112661351,0.007469776284153795,0.009227859077867606
2123,0.0185832338627056,0.00018940999563345033,0.0003216318787064385,0.0029337407274663855,0.015138451260899324,0.023220929687516326,0.010192520690038469,0.017307637684736695,0.15787030121565998,0.8146295404095648,0.005050659041060612,0.007510501834417482,0.009298054238826126
2124,0.01861011610405572,0.0001913339227737717,0.0003185247795835318,0.0029177753685869284,0.015182482033111486,0.023283052934966037,0.010281178349665111,0.0171156793328181,0.15678437212710647,0.8158187701904103,0.005075000887927672,0.007551518302392424,0.009365670909716073
2125,0.01864001697544703,0.00019345323048438687,0.00031796867111526976,0.0028978408918737967,0.015230754181973578,0.02334437683881177,0.010378382741775771,0.01705838956767603,0.1554634255800778,0.8170998021104704,0.005100312029682641,0.0075923916665203706,0.009433744582594272
2126,0.018644414202449357,0.00019319481332229855,0.0003178686543553167,0.0028909449576461216,0.015242405777125621,0.023391910835915474,0.010362074733188353,0.017049001964006872,0.15505689405174938,0.8175320292510554,0.005127013131613012,0.0076318047594838845,0.00950012902603703
2127,0.01863590836916377,0.00019320812770503372,0.00031753755509729854,0.0028884615737948304,0.015236701112566607,0.02343099336717214,0.01036751865687046,0.017039016763074323,0.15499440738688508,0.8175990571931702,0.0051554422501851604,0.007671665968871366,0.009569657689610267
