year,ohc_1e22J
2130,356.87926727634806
2131,360.4553179399934
2132,364.0189193836338
2133,367.6065976886742
2134,371.2176633936969
2135,374.8734134429502
2136,378.52210189130716
2137,382.1803253219203
2138,385.83335445118684
2139,389.44310780690665
2140,393.06914170431276
2141,396.6601724578258
2142,400.25049155203936
2143,403.8313963565589
2144,407.403996475141
2145,410.97950930151865
2146,414.5623254485079
2147,418.14856443852165
2148,421.72206750469246
2149,425.30144222517083
2150,428.87356418397053
2151,432.4393949183023
2152,435.98447836514765
2153,439.5281603845619
2154,443.0495791313116
2155,446.585211446429
2156,450.1306596627884
2157,453.70741175106923
2158,457.3128393092939
2159,460.92407877524795
2160,464.5321063114494
2161,468.125125859878
2162,471.6461274020322
2163,475.1650484898058
2164,478.6470489631175
2165,482.1325066102217
2166,485.6029796997837
2167,489.0660170850584
2168,492.56223458711855
2169,496.11589380182687
2170,499.7282345074184
2171,503.3139299826859
2172,506.883877995261
2173,510.3606069734396
2174,513.8255542278166
2175,517.2547953375048
2176,520.6377716252003
2177,524.011304636624
2178,527.3859854894058
2179,530.7637227471063
2180,534.1786187111445
2181,537.618400525303
2182,541.0596508475039
2183,544.4740564349469
2184,547.8457987718016
2185,551.2064373761291
2186,554.5328720346974
2187,557.8217308445886
2188,561.1045623471335
2189,564.3773322030823
2190,567.651682949611
2191,570.9663748676002
2192,574.3016265787667
2193,577.6188681667253
2194,580.9249741230417
2195,584.2286479559141
2196,587.4518614078484
2197,590.6847646678816
2198,593.8654245534278
2199,597.0372333671578
2200,600.1977647056864
2201,603.337796678734
2202,606.5177418523037
2203,609.7418274662643
2204,612.9878360833459
2205,616.215764980822
2206,619.4261326979172
2207,622.5397320008717
2208,625.652056831017
2209,628.6867177087378
2210,631.7144146170939
2211,634.7322087898197
2212,637.737385082572
2213,640.7521815795244
2214,643.7677115203006
2215,646.7602707603747
2216,649.7308119699803
2217,652.6793535724894
2218,655.623760647582
2219,658.5438831469166
2220,661.4537780353535
2221,664.359538196486
2222,667.2497149461574
2223,670.1185157363325
2224,672.976760631748
2225,675.837759009268
2226,678.6955049082178
2227,681.541825455799
2228,684.3813831202764
2229,687.2145005671829
2230,690.0205007284001
2231,692.8197828790851
2232,695.6104314679404
2233,698.3729230760928
2234,701.1036370320049
2235,703.8135192465238
2236,706.5042393600638
2237,709.1882535273087
2238,711.9246758268548
2239,714.6733594408479
2240,717.3992974597372
2241,720.0988626815354
2242,722.7853799930822
2243,725.4533423220021
2244,728.0605541248964
2245,730.6417647769052
2246,733.193873868779
2247,735.731668180361
2248,738.2691481620114
2249,740.8552027175878
2250,743.4635580887483
2251,746.0632219359536
2252,748.6143833801688
2253,751.112737758078
2254,753.553146023194
2255,755.9459533970742
2256,758.3213884222005
2257,760.6668105228554
2258,762.9847718437398
2259,765.2875580488877
2260,767.5882164857712
2261,769.8718768868192
2262,772.1626514807397
2263,774.4302539065177
2264,776.6733476591397
2265,778.9003566862757
2266,781.0845907244142
2267,783.2468917524486
2268,785.3992353648894
2269,787.5299613114335
2270,789.648071652803
2271,791.7614393598811
2272,793.8771542978848
2273,795.9822969479153
2274,798.072912467622
2275,800.1486532185343
2276,802.2242068360194
2277,804.2813057163082
2278,806.3071057005178
2279,808.3205683376773
2280,810.3182127897912
2281,812.3144170185908
2282,814.2948933810909
2283,816.2784869375837
2284,818.2442356586096
2285,820.1821709659137
2286,822.094855825881
2287,824.0119311326869
2288,825.9196860165786
2289,827.8238421213777
2290,829.7020452989415
2291,831.5689405972353
2292,833.4181906333098
2293,835.2683105794262
2294,837.1126860536182
2295,838.9530415565434
2296,840.8056608978852
2297,842.671290999689
2298,844.5488618725229
2299,846.4050211673335
2300,848.2590089735925
2301,850.0835755017504
