year,tas_global,tas_R19,tas_SLOWP,tas_FAST,tas_AGG,member,scenario
1943,286.961922013496,268.03115488977636,258.2848334250995,275.3859911466392,268.23755158691245,r10i1p1f2,historical
1944,286.9173403442571,267.8713991465938,258.24905411323925,275.6398025854329,268.31028890437096,r10i1p1f2,historical
1945,286.9600951495091,268.21200792300425,258.6630920389719,275.4323325101017,268.4209263980603,r10i1p1f2,historical
1946,286.7033851465031,267.92091680762667,259.51564876195397,275.31151782912747,268.58468908275904,r10i1p1f2,historical
1947,286.90665750584225,267.6154945821347,257.76027076583495,275.85937021611136,268.1982829938746,r10i1p1f2,historical
1948,287.0502778179875,267.7931218381664,259.2781148563031,275.522607831598,268.57794167974896,r10i1p1f2,historical
1949,286.72761050101076,267.5012365268431,258.36996441470046,275.4524945573155,268.1863153909227,r10i1p1f2,historical
1950,286.871208793092,267.4856166366407,259.02716726470055,275.7912290830791,268.5561371682074,r10i1p1f2,historical
1951,287.0260750256354,267.8493331405822,259.65229931590864,275.7157410333802,268.8021496699545,r10i1p1f2,historical
1952,286.76964603053364,267.5827186495941,258.6236484668512,275.40450738938716,268.2643728544403,r10i1p1f2,historical
1953,287.0907917524207,268.0018101164296,258.56927191102005,275.18670269320484,268.23255362196056,r10i1p1f2,historical
1954,287.02098731992413,268.24424223566956,258.20468138267296,275.27288492729565,268.2030196487725,r10i1p1f2,historical
1955,286.89354438780106,268.03779240176254,257.7385329300088,274.8465869853071,267.80928027598026,r10i1p1f2,historical
1956,286.94310312753373,268.293000070409,259.80875793965924,275.31935400838245,268.76193758243164,r10i1p1f2,historical
1957,286.8445688705713,268.2929152074516,258.8443791840328,274.9389771006336,268.2685812239428,r10i1p1f2,historical
1958,286.95125291283426,268.3519880023023,258.8278990729635,274.73041519459633,268.17873635986297,r10i1p1f2,historical
1959,286.88557600707793,268.0730239783373,258.0540743090827,275.0351720691819,268.00774710558574,r10i1p1f2,historical
1960,286.9668200657675,268.14236549516534,258.85352668291324,275.02672424664667,268.2810047914381,r10i1p1f2,historical
1961,286.9090934065075,267.93861152266453,258.4572082349595,274.86360094889284,268.03279404443606,r10i1p1f2,historical
1962,286.89918858344436,268.044121207046,258.28563860114036,275.08038509877605,268.09882029866947,r10i1p1f2,historical
1963,286.7810515235695,267.79056213230115,258.6809315720614,275.57006706465666,268.4031241803637,r10i1p1f2,historical
1964,286.7315294321519,267.91927178935856,258.1489589818242,275.3364919962739,268.1467059110983,r10i1p1f2,historical
1965,286.74861024200936,267.86510500630186,258.2332643440105,275.3686157470203,268.1780609014756,r10i1p1f2,historical
1966,286.6655804044254,267.31709295797015,257.3998077094901,274.9289380435988,267.58645269019405,r10i1p1f2,historical
1967,286.8926350541349,267.77718528464726,258.8619974947817,275.2276564257294,268.30110858389554,r10i1p1f2,historical
1968,287.00914788887764,267.6333672146052,260.6393812778176,275.70611778757035,269.0772833455338,r10i1p1f2,historical
1969,286.79460825816494,267.3461556013831,259.74647437378985,275.08344577385816,268.4354542079799,r10i1p1f2,historical
1970,286.84511015540335,267.7197123837373,260.2532571155941,275.59205469073174,268.91541581993744,r10i1p1f2,historical
