year,member,tas_global,tas_gis_south,tas_gis_all,scenario
2074,r1i1p1f1,289.54771949535154,261.29476686795505,257.32894191576054,ssp245
2075,r1i1p1f1,289.7074726391233,261.47124171062325,257.4921131619623,ssp245
2076,r1i1p1f1,289.68951133148136,261.4002852538382,257.7996879363822,ssp245
2077,r1i1p1f1,289.5831483429826,261.74487652576835,258.04795024435015,ssp245
2078,r1i1p1f1,289.85352072758747,262.39354314447905,258.666654741577,ssp245
2079,r1i1p1f1,289.79041291518695,263.1693364512997,258.8360908664144,ssp245
2080,r1i1p1f1,289.6001057730669,263.08832233953956,258.61584972731157,ssp245
2081,r1i1p1f1,289.7051080449904,261.2410892047418,257.16791614660485,ssp245
2082,r1i1p1f1,289.6892177551535,262.1143966663197,258.21786192119293,ssp245
2083,r1i1p1f1,289.8833284553123,263.2538125066958,259.31009831894477,ssp245
2084,r1i1p1f1,289.82097596593246,262.0286506478111,258.2890170887569,ssp245
2085,r1i1p1f1,289.7352097774966,262.42492142107784,258.28434305213585,ssp245
2086,r1i1p1f1,289.7702756256155,262.15088571355733,258.37054515201567,ssp245
2087,r1i1p1f1,289.62749783450727,262.59986250240996,258.633450831308,ssp245
2088,r1i1p1f1,289.6155236037055,262.31186202562077,258.1469297416969,ssp245
2089,r1i1p1f1,289.79371288431355,261.63450224250437,258.0156355961064,ssp245
2090,r1i1p1f1,289.90698782758,262.4260531704825,258.75286590134675,ssp245
2091,r1i1p1f1,289.7146001917428,263.0068401732265,258.8285511164101,ssp245
2092,r1i1p1f1,289.81246569971387,260.9598086773905,257.6172742999001,ssp245
2093,r1i1p1f1,290.14066658488554,261.63346856385925,257.6836924543188,ssp245
2094,r1i1p1f1,289.9695653718672,263.4927360334006,259.44170935801367,ssp245
2095,r1i1p1f1,289.89360821216525,262.3771769835022,258.3601148705216,ssp245
2096,r1i1p1f1,289.8793301608893,262.07124173745365,257.9458262072087,ssp245
2097,r1i1p1f1,289.90674324249164,262.8813301223301,258.96400970276386,ssp245
2098,r1i1p1f1,289.7376662278516,262.7380852122513,258.8668762794331,ssp245
2099,r1i1p1f1,289.7518096722511,261.86474533013927,257.8652371343195,ssp245
2100,r1i1p1f1,289.681490951888,260.7423160308188,257.13905949443506,ssp245
2015,r1i1p1f1,288.0991905457274,259.6444411398593,255.29311528600184,ssp585
2016,r1i1p1f1,288.21430894676365,259.78905533055166,255.508676777149,ssp585
2017,r1i1p1f1,288.52492050723424,260.00403411286976,255.72220895606722,ssp585
2018,r1i1p1f1,288.43996292062764,260.40851340171474,255.96018004510609,ssp585
2019,r1i1p1f1,288.21112194082997,260.0177696171843,255.67951955996097,ssp585
2020,r1i1p1f1,288.16035113798165,260.0856433876529,255.5434168312176,ssp585
2021,r1i1p1f1,288.30815010467626,259.9268152760245,256.1302221072765,ssp585
2022,r1i1p1f1,288.42087544450646,260.2474207965731,256.48815091853794,ssp585
2023,r1i1p1f1,288.5628232460158,258.58899791756613,255.0567136127467,ssp585
2024,r1i1p1f1,288.69607614704347,260.08922301258605,255.55420747241624,ssp585
2025,r1i1p1f1,288.6360302743152,261.3028091003575,257.0486602536131,ssp585
