year,ssp_label,component,p05,p50,p95
2010,SSP3-7.0,ais,0.17062017990293865,0.18075427150047252,0.19216850905989732
2010,SSP3-7.0,gsic,0.37458444980549604,0.4040427694414733,0.4409650735234245
2010,SSP3-7.0,gis,0.2596556514038876,0.3098647184633908,0.3674925891618094
2010,SSP3-7.0,te,0.6739525592657557,0.7285874058017986,0.7782748303292275
2010,SSP3-7.0,lws,0.0,0.0,0.0
2020,SSP3-7.0,ais,0.5958224157093878,0.6336613330299938,0.6768682267890939
2020,SSP3-7.0,gsic,1.0625517479121147,1.1507363045896446,1.2660983913692416
2020,SSP3-7.0,gis,0.7492508045904376,0.9151899926967411,1.113651673845752
2020,SSP3-7.0,te,2.0845804621837916,2.253569706423068,2.407256242607385
2020,SSP3-7.0,lws,0.059785229144090846,0.059785229144090846,0.059785229144090846
2030,SSP3-7.0,ais,1.0939930355593908,1.16536787945437,1.2453270316316223
2030,SSP3-7.0,gsic,1.7500932923326178,1.9000260775554016,2.107701318981555
2030,SSP3-7.0,gis,1.2554797350703955,1.565391808380541,1.9513295508200814
2030,SSP3-7.0,te,3.594124959185101,3.885487404325711,4.150465718001403
2030,SSP3-7.0,lws,0.2885589594009206,0.2885589594009206,0.2885589594009206
2040,SSP3-7.0,ais,1.6658208963111332,1.7799280874724543,1.9039849681390122
2040,SSP3-7.0,gsic,2.4205146095411925,2.630660807770753,2.9398246242462704
2040,SSP3-7.0,gis,1.7771904634186162,2.2625473245428025,2.882531863422527
2040,SSP3-7.0,te,5.267470755749099,5.694485168584006,6.082831576693003
2040,SSP3-7.0,lws,0.5983373796859456,0.5983373796859456,0.5983373796859456
2050,SSP3-7.0,ais,2.334598071288673,2.5121727039439996,5.1075761900830425
2050,SSP3-7.0,gsic,3.0712529579098096,3.3434795946709004,3.7644014465203224
2050,SSP3-7.0,gis,2.3157735964181763,3.012931228401568,3.931683906780726
2050,SSP3-7.0,te,7.1713376000817615,7.752691471139812,8.281401230997357
2050,SSP3-7.0,lws,0.8545869230223191,0.8545869230223191,0.8545869230223191
