post_idx,ais_1850,ais_1900,ais_2018,ais_2024,gis_1850,gis_1900,gis_2018,gis_2024,gsic_1850,gsic_1900,gsic_2018,gsic_2024,te_1850,te_1900,te_2018,te_2024,lws_1850,lws_1900,lws_2018,lws_2024,total_1850,total_1900,total_2018,total_2024
11,-3.0812248492938337,-4.249282252826769,0.6303863953189381,0.8130962939879138,0.041380973605154026,-0.12834953560538764,0.7349140689175471,1.2206290781865192,-3.318055139562,-2.953787099845768,1.3209569468083948,1.8995947925207965,-1.4576998563731753,-1.6087893822785855,1.0370431853687663,1.1922760094021487,0.0,0.0,0.0,0.08491570176669638,-7.815598871623855,-8.94020827055651,3.7233005964136465,5.210511875864075
12,-4.600256686640232,-4.3255060630287385,0.5336788836353357,0.6658879709890653,-0.46351608608405925,-0.3185769552277229,0.9296040639737768,1.5761151382220007,-3.611365820247509,-3.2149588589459426,1.4377313527968338,2.067439469720019,-1.462050159787847,-1.613590591466206,1.0401380971853156,1.1958341920913058,0.0,0.0,0.0,0.08491570176669638,-10.137188752759647,-9.47263246866861,3.9411523975912632,5.590192472789088
13,-11.989215994753874,-4.594808197814326,0.5988075524484326,0.7679119504256704,-0.5863910309697573,-0.549505659314331,0.6568821873353947,1.0557376133456309,-3.460623809419081,-3.07567294048708,1.348527147830278,1.9338724358046357,-1.8847896010719136,-2.080146667214409,1.3408852330607324,1.541599537314765,0.0,0.0,0.0,0.08491570176669638,-17.921020436214626,-10.300133464830145,3.94510212067484,5.3840372386574025
14,-2.1347040135974846,-3.714681233008754,0.5508661307488616,0.7098246471738956,-0.36705722739931446,-0.25073674439495264,0.9800903447716891,1.669033491443006,-3.419244643180344,-3.0393693276708587,1.3345558243873747,1.91410656965135,-1.7836484304179987,-1.9685222880612918,1.268930940599028,1.4588745574046076,0.0,0.0,0.0,0.08491570176669638,-7.704654314595144,-8.973309593135859,4.134443240506952,5.836754967439556
15,0.22526841082956064,-2.791587352985181,0.4523034684756788,0.5919725735973325,0.04474406464840541,0.39577212496997305,0.9520914898295985,1.7485481801730707,-3.247640656767333,-2.8905146164501008,1.2892085682729495,1.8531855851434174,-1.5477541119635883,-1.708177695715977,1.1011099763924372,1.265932824291436,0.0,0.0,0.0,0.08491570176669638,-4.525382293252955,-6.994507540181286,3.794713502970665,5.544554864971952
16,-2.067592668390741,-3.991411597350303,0.6057974912432762,0.784377820810378,0.3800340281943093,0.17327763650296646,0.9194593872622114,1.574606769083342,-3.6611781471930596,-3.2496878932786277,1.4033669882550053,2.0084072438304115,-1.4897335217160994,-1.6441433136478203,1.0598327151893419,1.2184768562463095,0.0,0.0,0.0,0.08491570176669638,-6.83847030910559,-8.711965167773785,3.9884565819498343,5.670784391737138
17,-7.13304758180778,-3.515730337094114,0.5533955706083948,0.7220311415249592,-0.42107194423728345,-0.21083730997437655,0.9446407217926556,1.6275083946799995,-3.316818712453746,-2.9502335666890818,1.306501410123207,1.8762984333019255,-1.6780836574572529,-1.8520158034517322,1.193829589703431,1.3725314424699382,0.0,0.0,0.0,0.08491570176669638,-12.549021895956061,-8.528817017209303,3.998367292227692,5.683285113743522
18,-10.804732536973988,-4.905568016849249,0.40805680630899843,0.4559142621851753,0.08604680855031077,0.2827619612202348,0.9186135977381049,1.6530247671685316,-4.063455350833585,-3.6092916006061486,1.5707708845308699,2.2501675613422796,-1.6490764860134535,-1.8200020598647453,1.1731931813638838,1.3488060133551225,0.0,0.0,0.0,0.08491570176669638,-16.431217565270718,-10.052099716099908,4.070634469941855,5.792828305817804
19,-11.793611766368093,-4.702634327609334,0.4952063182639854,0.594357739171214,-0.39153735733288286,-0.26114159542851567,0.9111173566741293,1.5502950996890696,-3.6590890424708684,-3.250816054550317,1.4195211677304314,2.0346853262957416,-1.5655817800960141,-1.7278531886350688,1.1137930137590888,1.2805143589777024,0.0,0.0,0.0,0.08491570176669638,-17.409819946267856,-9.942445166223235,3.9396378564276358,5.544768225900426
20,-9.77591661615681,-3.514364855233565,0.6363724676619165,0.847283405026733,0.07960249558625065,0.3379146985004411,0.9508276659095927,1.7262694998169792,-3.504946116008245,-3.115295385890949,1.3671020779932672,1.9607474793551218,-1.5844318169589415,-1.7486570180571905,1.1272033891441073,1.2959321053880877,0.0,0.0,0.0,0.08491570176669638,-14.785692053537748,-8.040402560681265,4.081505600708886,5.915148191353619
21,-12.819858650220024,-6.297560723945395,0.8024898655585089,1.0081704184104923,-0.19241628155768353,-0.04969114976640654,0.7592838151357029,1.3208573700135062,-3.4188640724057495,-3.036038383737808,1.3175071484281917,1.8865883432289066,-1.431262004372482,-1.579611266219225,1.018234653466098,1.1706520677225638,0.0,0.0,0.0,0.08491570176669638,-17.86240100855594,-10.962901523668833,3.8975154825884983,5.471183901142168
22,-5.726189272787809,-5.1832080359557775,0.5163565790246571,0.6086508391649481,0.14261740957346447,0.2324766870517081,0.7979895949715932,1.4216440795349783,-3.6814659101469775,-3.2740401062248,1.4467056251267416,2.076942403025664,-1.396018213341198,-1.540714481977615,0.9931613620366205,1.1418256077738533,0.0,0.0,0.0,0.08491570176669638,-10.66105598670252,-9.765485937106485,3.7542131611596115,5.33397863126614
23,-1.5576521400598313,-3.0915615103051852,0.4192604483801099,0.5799569200145904,0.5049870292819669,0.05585778965517818,0.8284244322467771,1.366071234766597,-3.747640214924111,-3.33235303154601,1.4684463745943053,2.1070938122299667,-1.376995757798562,-1.5197203628055076,0.9796283238029786,1.1262668373697498,0.0,0.0,0.0,0.08491570176669638,-6.177301083500538,-7.887777115001525,3.6957595790241715,5.2643045061475995
24,-7.026302135881654,-3.558553409827192,0.5867331381258167,0.7691140572155808,-0.21186759764502128,-0.08829842382809261,0.8477754305871166,1.4659947491934666,-3.5442642461892437,-3.1468111982940874,1.3617120312027942,1.9489393346886208,-1.640210066518828,-1.8102166424625155,1.1668853945617355,1.3415540271478648,0.0,0.0,0.0,0.08491570176669638,-12.42264404623475,-8.603879674411887,3.963105994477462,5.61051787001223
25,-7.532368799481011,-6.326415968679178,0.5438127659543657,0.612735427290112,-0.28671289509478726,-0.11576170892313442,0.7088207971112759,1.229873417253824,-3.397227179153245,-3.018083611480747,1.3172522876301995,1.8879321544918073,-1.5117375763539573,-1.6684280724846228,1.0754869356469365,1.2364743242021352,0.0,0.0,0.0,0.08491570176669638,-12.728046450083,-11.128689361567682,3.6453727863427767,5.051931025004578
26,-1.9771712234605776,-4.423317965112439,0.6779535016566696,0.880444039660544,0.13205355468031144,0.08367497713051009,0.8360011143462742,1.4439646085056879,-3.630110921951826,-3.229773896459282,1.43464397826331,2.0611318248798707,-1.385252376271349,-1.5288327737551788,0.9855022833042876,1.1330200575754443,0.0,0.0,0.0,0.08491570176669638,-6.860480967003441,-9.098249658196389,3.934100877570543,5.603476232388243
