scenario,component,module,year,med,p05,p17,p83,p95,n,unit
ssp245,total,wf2f,2070,33.63136901855469,24.97530212402344,27.880357513427736,43.6262319946289,54.2781845092773,200,cm rel 2005
ssp245,total,wf2f,2080,40.821047973632815,29.638377685546878,33.840902069091804,53.491813049316406,66.20272674560539,200,cm rel 2005
ssp245,total,wf2f,2090,48.24559020996094,35.174383087158205,39.555336883544925,63.94012463378907,78.8122247314452,200,cm rel 2005
ssp245,total,wf2f,2100,56.914437866210946,41.425410003662115,45.998819061279306,75.2179937133789,92.00418914794906,200,cm rel 2005
ssp245,total,wf2f,2110,64.79947814941406,47.22134338378906,52.73418243408204,87.01473706054688,105.98057128906234,200,cm rel 2005
ssp245,total,wf2f,2120,73.49765625,52.48179458618165,59.172680786132815,98.59461462402344,121.73285644531236,200,cm rel 2005
ssp245,total,wf2f,2130,81.4439910888672,57.700527343750004,65.8177572631836,110.91881884765625,137.8487451171874,200,cm rel 2005
ssp245,total,wf2f,2140,89.39118957519531,62.884424438476564,72.84366296386719,122.75476647949219,154.08037292480466,200,cm rel 2005
ssp245,total,wf2f,2150,98.1462615966797,68.19892974853515,79.86429058837892,134.62259033203125,169.2264593505859,200,cm rel 2005
ssp245,total,wf3e,2020,5.473127365112305,4.750025291442871,5.002542846679688,5.954443077087403,6.378337306976317,200,cm rel 2005
