draw,obs_iid_ais,obs_iid_gsic,obs_iid_gis,obs_iid_steric,obs_iid_fit,obs_iid_total,ar1_prof_ais,ar1_prof_ais_sd,ar1_prof_ais_rho,ar1_prof_gsic,ar1_prof_gsic_sd,ar1_prof_gsic_rho,ar1_prof_gis,ar1_prof_gis_sd,ar1_prof_gis_rho,ar1_prof_steric,ar1_prof_steric_sd,ar1_prof_steric_rho,ar1_prof_fit,ar1_prof_total,model
276,61.33415236182246,2.37814058644247,11.179362849367337,-1137.8021548135316,-1062.9104990158994,-167.2732530450878,109.60743617236055,0.023883808089824553,0.981726896192185,2.526655599732635,0.009319096085605442,0.9282832464481645,103.55036775877834,0.023417819352309195,0.986815251677301,7.893036151077126,0.079853174679793,0.9899999890915352,223.57749568194865,-166.23367763238977,ladrillo
281,98.34358230651885,-2.682989595394787,27.271242397847132,-908.2781584729319,-785.3463233639607,-165.24548504865413,114.8752796900617,0.018050904780386914,0.9582532347153987,1.5099361950942551,0.023866473889100476,0.9876344988593422,105.06417388473743,0.02123585639284138,0.9880057745623743,8.68529903314861,0.07738464560611696,0.9896062058653963,230.13468880304202,-164.86827275093344,ladrillo
286,106.03135792874626,-4.9179862595341035,-27.977820736519234,-530.640604935951,-457.5050540032581,-166.2808202018035,112.16822419528559,0.018451953641144072,0.9694831150040979,3.69336695545077,0.029221261583602814,0.9899999999929672,102.9625867984535,0.024347047910570723,0.9877385962695959,9.969726337780642,0.07290988672456222,0.9899999998424793,228.79390428697047,-165.73236424425937,ladrillo
291,103.8760432587194,-5.490808132632608,38.97966187789858,-442.35019463104544,-304.98529762706005,-163.00919066707604,114.68575468325578,0.01837726496142668,0.9348685541799617,2.867741909073814,0.030816265060930752,0.9898739247520445,104.90757507534089,0.020869211375631164,0.9859905303847158,10.244361086220138,0.07196657847865612,0.9899999995899312,232.7054327538906,-163.00919066707604,ladrillo
296,69.8658424956647,5.528022757093154,-183.08553831537267,-601.1672515554607,-708.8589246180754,-170.75764990844075,113.02808733311544,0.020431669219011434,0.9707692762994922,5.550007171332894,0.005818127446915704,0.910373238449167,97.64352788997338,0.03137599836319873,0.9899999999169065,9.738448606955174,0.07370211963091584,0.9899999998200033,225.9600710013769,-168.29282744062283,ladrillo
301,91.08419396611451,-44.92881926602344,-131.36552074215075,-631.6749453494951,-716.8850913915549,-181.9087899193371,112.31470419787003,0.019085101322412354,0.9803497802879684,-8.221015141850799,0.05800962741946771,0.9899999998901725,98.96457408900598,0.02992690712194104,0.9877210535732325,9.636281357937136,0.07405479419667542,0.9899862861503415,212.69454450296234,-171.50180826971757,ladrillo
306,47.40117883718396,-16.032201029696125,57.85808126515947,-998.5623348924868,-909.3352758198395,-168.86402753257912,112.80727016506277,0.020289431004085725,0.9870326252225394,-4.368835915785013,0.045390670439338296,0.9899999999921419,103.30779712213213,0.023201729514281393,0.9778497794681185,8.372354199630095,0.07837764180473468,0.9897245563347852,220.11858557104,-167.32048025399476,ladrillo
311,66.91935901061682,-16.350947094898686,31.72178862086342,-369.2920642025906,-287.00186366600906,-168.91950190446516,112.26802056417687,0.01928512230298966,0.9899999999760809,-4.6950816346603546,0.04649873077788402,0.989999999995856,103.61170007649544,0.02294447862239882,0.9864542097469207,10.450393910183024,0.07125949536064262,0.9899999999212872,221.63503291619497,-167.7564727142174,ladrillo
316,41.88877100401625,5.45196237365559,-68.6318251638342,-443.18782474368186,-464.47891652984424,-165.42779664880666,111.50210406686988,0.021405735850315417,0.98999999999978,5.535964701869119,0.009062357265480783,0.9193865146428758,98.99296092568521,0.028999823445123068,0.9899999999856216,10.24186465313673,0.07197502471261577,0.9899999998349029,226.27289434756094,-165.42779664880666,ladrillo
321,89.75788308274902,-6.307864968061921,-81.97386969145005,-392.74149955051234,-391.26535112727527,-174.04438154275755,112.36840811647427,0.019151994852823966,0.9798584496844746,1.8229853141641428,0.02607893771809914,0.9899999997228297,99.73519354638678,0.028800912354383,0.986328345904979,10.387113646137948,0.0714759969752597,0.9899999999337139,224.31370062316313,-169.3326205309345,ladrillo
326,81.9343602064801,-5.683241443003382,-44.19777150732956,-455.50302556320514,-423.449678307058,-177.58643326510207,109.09122546111858,0.02259431989119039,0.9899999999839599,-0.6605559537010777,0.03134695204425718,0.9899999997869361,99.12897245735753,0.028663508003119814,0.9899999997102218,10.204877507371407,0.07210240832505618,0.989999999797256,217.76451947214645,-170.5489489994713,ladrillo
331,26.095663642759988,-8.952626797730673,-274.1575226213,-1311.4812640178652,-1568.495749794136,-163.8847462241305,111.54059236543766,0.021845789903326147,0.9899999998217005,-2.3062867280061994,0.03854937288080875,0.9899999999159022,97.1047544860382,0.032592936337559,0.9899999994240585,7.304121948534487,0.08176268974744592,0.989999998883909,213.64318207200415,-163.8847462241305,ladrillo
336,26.863022908288755,-31.47934631601227,-398.4315771660125,-468.16327704517084,-871.2111776189068,-172.61464843450096,111.04618006936384,0.022088544096236933,0.9899999999472655,-5.457578962259106,0.05016387106761199,0.9899999999574569,95.56743291298012,0.034803334047412704,0.9899999998372145,10.166332338719428,0.07222938870061471,0.9899999989511867,211.3223663588043,-169.2082083400207,ladrillo
341,50.9943935590034,-70.24685143613274,-157.79321312996228,-631.0476673590459,-808.0933383661376,-172.95230912808515,112.48892909980965,0.020073505504695843,0.9899999999995006,-10.749039767554322,0.06608848492545258,0.9899999999986397,98.26486106585712,0.030802819372525308,0.989999999948338,9.638392035924909,0.07404681943136376,0.9899887968186931,209.64314243403734,-169.64259465237876,ladrillo
346,57.823231083656125,-37.826769149185935,-176.8946545170395,-558.0437025122609,-714.9418950948302,-175.81862561081013,112.75543563878152,0.019519597230473227,0.9899999998882248,-6.679076523672961,0.05354719750239513,0.9899999999890595,99.26148564030645,0.029603933907071264,0.9897242172953482,9.880817862986234,0.07321567583543688,0.9899999975384116,215.21866261840125,-169.90418116741162,ladrillo
351,-2.9419875728819846,-16.882619828807435,-176.22468432974938,-653.0696590798556,-849.1189508112943,-169.59766625568975,111.53181527253794,0.023153205769090707,0.9832654142069214,-3.251831809186811,0.04319239687891877,0.9899999999958404,98.68565077709665,0.030430258812597928,0.9899999999908486,9.564088205060997,0.07432982944051038,0.989907694835938,216.5297224455088,-168.17656846642234,ladrillo
356,102.06169443930297,2.419274180833753,-157.11643753580114,-326.76348415905653,-379.39895307472096,-167.43814500551093,114.07662275858844,0.018801525779226346,0.9365340988294616,3.746320839535457,0.015011122268985124,0.9525368285621032,99.47033599873826,0.029428441007437738,0.9899999999633409,10.555850419093005,0.07089861777572716,0.9899999999295526,227.84913001595515,-167.1398772631859,ladrillo
