year,dt_glob,secant,slope,model,scenario
2017.5,1.0920070429740159,1.326107161634772,1.3339300401478322,INM-CM4-8,ssp245
2018.5,1.1083425851357618,1.375947822350802,1.3748512933594417,INM-CM4-8,ssp245
2019.5,1.1260372113038537,1.3732926854726448,1.3813547849231724,INM-CM4-8,ssp245
2020.5,1.1459336247845955,1.353302441582837,1.3562309149512897,INM-CM4-8,ssp245
2021.5,1.1670179631859792,1.362488016670678,1.3754641677441417,INM-CM4-8,ssp245
2022.5,1.1883656742908917,1.3643793055687445,1.3758198318674209,INM-CM4-8,ssp245
2023.5,1.2093849997410548,1.4110426697864837,1.4165530595296993,INM-CM4-8,ssp245
2024.5,1.22546597536155,1.4091040619435076,1.4195768153177282,INM-CM4-8,ssp245
2025.5,1.243479562606668,1.4123612442917883,1.4248459152588455,INM-CM4-8,ssp245
2026.5,1.2682549945339494,1.4200182943561965,1.4381815642319253,INM-CM4-8,ssp245
2027.5,1.2935614653775664,1.4119868914891265,1.413891188998733,INM-CM4-8,ssp245
2028.5,1.3188054420296131,1.4091149118226045,1.4149804421987249,INM-CM4-8,ssp245
2029.5,1.3462053982817053,1.457730512533935,1.4559577589996926,INM-CM4-8,ssp245
2030.5,1.3752927332917713,1.4919761878123416,1.48501022312618,INM-CM4-8,ssp245
2031.5,1.4024148012004465,1.4474922416762492,1.4574082538257098,INM-CM4-8,ssp245
2032.5,1.4267768709012274,1.4246959149242153,1.4373600052597753,INM-CM4-8,ssp245
2033.5,1.4558642197479514,1.3997182940343205,1.3995248682885515,INM-CM4-8,ssp245
2034.5,1.4824202733676637,1.4138808934712337,1.4240511055778788,INM-CM4-8,ssp245
2035.5,1.5061490095986036,1.4088645973824359,1.4088793585721775,INM-CM4-8,ssp245
2036.5,1.5265950277191545,1.4218471894872844,1.4285147963322817,INM-CM4-8,ssp245
2037.5,1.5492088291769581,1.454997031949686,1.4611593935323817,INM-CM4-8,ssp245
2038.5,1.5699321406192912,1.4553118680784745,1.454647686015371,INM-CM4-8,ssp245
2039.5,1.5833712215162108,1.4354944975382633,1.4413282513005405,INM-CM4-8,ssp245
2040.5,1.6020152898543851,1.4316232957941768,1.4418093419367675,INM-CM4-8,ssp245
2041.5,1.6225499272197188,1.4201487803538382,1.4243227285780498,INM-CM4-8,ssp245
2042.5,1.643383359407871,1.4628036275879095,1.461856811004171,INM-CM4-8,ssp245
2043.5,1.6620890539829836,1.4826821146976528,1.4879442554170232,INM-CM4-8,ssp245
2044.5,1.68164055125809,1.4945143406383368,1.4979078134839243,INM-CM4-8,ssp245
2045.5,1.7028738452696701,1.518829794825538,1.5142031013738209,INM-CM4-8,ssp245
2046.5,1.725018508216406,1.5068230964213212,1.4988128270556205,INM-CM4-8,ssp245
2047.5,1.7496463829910984,1.4721915138923933,1.4607734559543795,INM-CM4-8,ssp245
2048.5,1.7727221714255905,1.458794819690765,1.4467520786512702,INM-CM4-8,ssp245
2049.5,1.7910301054458027,1.4681364950000428,1.4603753460053606,INM-CM4-8,ssp245
2050.5,1.8116939355491506,1.5044778518476716,1.497357317216206,INM-CM4-8,ssp245
2051.5,1.8317980012824326,1.505046730215711,1.5018928222992425,INM-CM4-8,ssp245
2052.5,1.8491523765808286,1.5341442542837735,1.5319179811691528,INM-CM4-8,ssp245
2053.5,1.864604840584036,1.5216715958705334,1.5206026194248194,INM-CM4-8,ssp245
2054.5,1.883810515039115,1.5261020175619893,1.5268318134984284,INM-CM4-8,ssp245
2055.5,1.9014698033065296,1.5185134557118831,1.5189289949350393,INM-CM4-8,ssp245
2056.5,1.911924072228868,1.5134292540735494,1.5146629551633435,INM-CM4-8,ssp245
2057.5,1.9237761045110555,1.5597952368968468,1.559875633676216,INM-CM4-8,ssp245
2058.5,1.9353074009249875,1.5583117127487673,1.5581697043503067,INM-CM4-8,ssp245
2059.5,1.9484907035991759,1.5371405543759173,1.5356862467541303,INM-CM4-8,ssp245
2060.5,1.9579685609947262,1.5429268963110292,1.5425517267940156,INM-CM4-8,ssp245
2061.5,1.969463884844987,1.5376186446795854,1.5368587762093389,INM-CM4-8,ssp245
2062.5,1.9869072917304966,1.5597196199200964,1.5593541453236854,INM-CM4-8,ssp245
2063.5,2.0007461415253487,1.6035567879867676,1.6018923573621924,INM-CM4-8,ssp245
2064.5,2.012083389705807,1.5985453217821786,1.5990129323334614,INM-CM4-8,ssp245
2065.5,2.0236451859051727,1.6314902984178354,1.6299881454835279,INM-CM4-8,ssp245
2066.5,2.0407732160156398,1.5984129654250414,1.5977593365680887,INM-CM4-8,ssp245
2067.5,2.0539052537997424,1.5995102986753662,1.600696858283415,INM-CM4-8,ssp245
2068.5,2.068714978902856,1.6118881830503056,1.6101539332897186,INM-CM4-8,ssp245
2069.5,2.0803059025415678,1.6197851257009463,1.619591517349475,INM-CM4-8,ssp245
2070.5,2.091110909680312,1.6106653033431813,1.6103314668287922,INM-CM4-8,ssp245
2071.5,2.0990276497278293,1.627273007724279,1.625381314097078,INM-CM4-8,ssp245
2072.5,2.1060188377360705,1.6139010747772478,1.6113072386447012,INM-CM4-8,ssp245
2073.5,2.1171278435391474,1.5952959486459695,1.5951130377269496,INM-CM4-8,ssp245
2074.5,2.127273373946747,1.5915668731532873,1.5908161141428776,INM-CM4-8,ssp245
2075.5,2.1367306863354334,1.6067766467861506,1.6058901170202398,INM-CM4-8,ssp245
2076.5,2.1446086124728803,1.6394028085972696,1.638790017261093,INM-CM4-8,ssp245
2077.5,2.149143468302695,1.6583859282616762,1.6574156675459268,INM-CM4-8,ssp245
2078.5,2.1586504851657575,1.6819458603533306,1.680698368958041,INM-CM4-8,ssp245
2079.5,2.167315706252621,1.6765264733794503,1.6760370364714743,INM-CM4-8,ssp245
2080.5,2.175123264692441,1.665685460026671,1.6655809885381947,INM-CM4-8,ssp245
2081.5,2.1817444488178355,1.6764924628719948,1.677351203617283,INM-CM4-8,ssp245
2082.5,2.1903852938987804,1.6533420825812197,1.6553459926954108,INM-CM4-8,ssp245
2083.5,2.2000416072271247,1.6649855927453838,1.6660963584549053,INM-CM4-8,ssp245
2084.5,2.2080310678519006,1.658605968348197,1.6600334433370465,INM-CM4-8,ssp245
2085.5,2.2140138153629647,1.6521109331970505,1.6526196282182988,INM-CM4-8,ssp245
1988.5,0.5163459196584143,1.3471892157870335,1.3046935305281149,INM-CM4-8,ssp585
1989.5,0.5400886120970786,1.3739292533052165,1.371417841750624,INM-CM4-8,ssp585
1990.5,0.5572677059807745,1.3899218550963228,1.3817659778067968,INM-CM4-8,ssp585
1991.5,0.5742392699048385,1.4517045229304695,1.4369284820760175,INM-CM4-8,ssp585
1992.5,0.5910444702806539,1.4641957438102233,1.4364475946974802,INM-CM4-8,ssp585
1993.5,0.608587837896016,1.394073285351553,1.3557016609671153,INM-CM4-8,ssp585
1994.5,0.6241907660717004,1.5220377328251793,1.461461615185721,INM-CM4-8,ssp585
1995.5,0.6432624868380894,1.53076588083217,1.4714484646573411,INM-CM4-8,ssp585
1996.5,0.6608767950845447,1.5692799136164581,1.5013750339857346,INM-CM4-8,ssp585
