transient,anchor,phi,tau_s,kappa,nu,rmax,sigma,rho,logJ,ll_flow,ll_prior,flow_win,flow_win_deficit,rate_modern_mm_yr,flow_1900_1919,flow_1920_1949,flow_1950_1979,flow_1980_1999,flow_2000_2023,S1900_mm,inv_z,S2020_mm,com1p2,com1p5,com2p0,com3p0,sens_mm,ds126,ds245,ds585,spread,g_s1900,g_inv,g_lad,g_spread,npass,feasible,arm,kappa_f,kappa_s
P,pub,0.50000,700.00000,0.01447,1.00000,,0.07119,0.99000,-44.64579,-40.69918,-9.45778,35.77916,17.04186,1.04505,-40.24052,-34.57262,-6.89022,10.91310,23.25690,22.64483,0.51323,80.75474,48.08736,55.52444,65.62823,79.47123,72.37803,7.79658,9.51129,12.21757,4.42099,True,True,True,False,3,False,P_grid,,
P,pub,0.50000,700.00000,0.01213,1.50000,,0.07767,0.99000,-46.64171,-42.66801,-9.49582,33.15298,19.66804,1.15664,-39.45100,-34.18201,-7.10605,10.46036,21.05760,19.60698,0.57096,79.29586,48.33673,55.73808,65.79334,79.56984,72.37803,8.03089,9.92018,12.87895,4.84806,True,True,True,True,4,False,P_grid,,
P,pub,0.50000,1000.00000,0.01744,0.50000,,0.07052,0.99000,-46.12490,-40.64427,-10.83692,37.13957,15.68146,0.89744,-41.43705,-35.46046,-7.12517,10.86784,24.65940,25.88597,0.48151,80.16733,48.18806,55.61071,65.69490,79.51105,72.37803,7.06326,8.48974,10.66264,3.59938,True,True,True,False,3,False,P_grid,,
P,pub,0.50000,1000.00000,0.01546,1.00000,,0.07501,0.99000,-47.26368,-42.00337,-10.75783,35.30295,17.51807,1.01961,-40.89479,-35.08055,-7.29228,10.57454,23.09522,22.49566,0.54790,78.24741,48.51447,55.89036,65.91102,79.64013,72.37803,7.39156,9.08814,11.75065,4.35909,True,True,True,False,3,False,P_grid,,
P,pub,0.50000,1000.00000,0.01306,1.50000,,0.08059,0.99000,-49.02038,-43.73027,-10.79149,32.93642,19.88460,1.12960,-40.13944,-34.67278,-7.46563,10.19153,21.09030,19.44332,0.60461,76.85351,48.74888,56.09119,66.06623,79.73283,72.37803,7.61112,9.47506,12.37821,4.76709,True,True,True,True,4,False,P_grid,,
P,pub,0.65000,150.00000,0.00734,0.50000,,0.04856,0.99000,-37.10027,-32.11793,-10.41396,38.64732,14.17370,1.07178,-35.47096,-31.42142,-4.85768,12.85334,24.45148,26.00169,0.25339,96.87409,45.16278,53.01884,63.69184,78.31471,72.37803,10.04534,11.62618,14.17374,4.12840,True,True,True,False,3,False,P_grid,,
P,pub,0.65000,150.00000,0.00565,1.00000,,0.06148,0.99000,-41.12401,-36.30141,-10.41650,35.02689,17.79413,1.20873,-35.62282,-31.76520,-5.43840,11.88341,21.67966,22.12417,0.35862,92.52406,45.98400,53.72241,64.23557,78.63946,72.37803,10.91044,13.04161,16.71557,5.80514,True,True,True,True,4,False,P_grid,,
P,pub,0.65000,150.00000,0.00407,1.50000,,0.07286,0.99000,-45.14365,-40.12706,-10.58812,31.94790,20.87312,1.33547,-35.88869,-32.15042,-5.96935,11.05557,19.34290,18.73514,0.45750,88.39243,46.74153,54.37141,64.73714,78.93902,72.37803,11.53009,14.05998,18.44663,6.91654,True,True,True,True,4,False,P_grid,,
P,pub,0.65000,300.00000,0.01000,0.50000,,0.05124,0.99000,-37.98846,-33.39997,-9.98809,38.60843,14.21260,1.06349,-36.69325,-32.08834,-5.06787,12.62554,24.57637,26.29292,0.28990,94.51267,45.61165,53.40341,63.98904,78.49221,72.37803,9.49402,11.12290,13.72721,4.23319,True,True,True,False,3,False,P_grid,,
P,pub,0.65000,300.00000,0.00798,1.00000,,0.06456,0.99000,-41.88124,-37.51624,-9.94963,34.57874,18.24228,1.21290,-36.38574,-32.17790,-5.69342,11.62857,21.44354,21.94192,0.39537,90.43775,46.36919,54.05242,64.49062,78.79178,72.37803,10.21330,12.33039,15.89417,5.68087,True,True,True,True,4,False,P_grid,,
