model,component,year,p5,p50,p95
BRICK2.0,gis,1916,-4.559247898508215,-4.042773575179416,-3.5700283521761413
BRICK2.0,gis,1917,-4.507892205644828,-3.9973142517037212,-3.5296222840861904
BRICK2.0,gis,1918,-4.454221701790131,-3.9500775011608606,-3.488883023007731
BRICK2.0,gis,1919,-4.400185362552343,-3.9029952707629465,-3.447947196105653
BRICK2.0,gis,1920,-4.346065890895475,-3.8565785000244865,-3.4068561928212895
BRICK2.0,gis,1921,-4.291873923040544,-3.8098053050347658,-3.365643747761001
BRICK2.0,gis,1922,-4.237746402909318,-3.7641385197974535,-3.325616586100712
BRICK2.0,gis,1923,-4.184150554256948,-3.7191567345675507,-3.286500593931113
BRICK2.0,gis,1924,-4.1324406609498805,-3.6730421716832256,-3.247590472392686
BRICK2.0,gis,1925,-4.078790632539306,-3.626862898043043,-3.2088966747859202
BRICK2.0,gis,1926,-4.025092329060806,-3.5796589160102257,-3.170037507698503
BRICK2.0,gis,1927,-3.9724079364553124,-3.5328168502621002,-3.1309179187330103
BRICK2.0,gis,1928,-3.9237870513338766,-3.4863088594993084,-3.091585078718085
BRICK2.0,gis,1929,-3.874676076360484,-3.440049470893859,-3.051995324198183
BRICK2.0,gis,1930,-3.8215434660499135,-3.395246683681931,-3.009885987921157
BRICK2.0,gis,1931,-3.767514740296508,-3.348836904419333,-2.967199287467026
BRICK2.0,gis,1932,-3.7134236182946467,-3.30227196641612,-2.9244822206611776
BRICK2.0,gis,1933,-3.659198774206456,-3.2554785727872013,-2.88166632499594
BRICK2.0,gis,1934,-3.6050354077975366,-3.2090592289438478,-2.839247094562208
BRICK2.0,gis,1935,-3.550868696073513,-3.162987397648703,-2.7988745218171127
BRICK2.0,gis,1936,-3.4966316587458057,-3.1165185416657453,-2.758290597400209
BRICK2.0,gis,1937,-3.442343644306567,-3.0697128848781756,-2.717540141593383
BRICK2.0,gis,1938,-3.3879747049456888,-3.0218722478977655,-2.676552879730459
BRICK2.0,gis,1939,-3.333652248956598,-2.9741864503857447,-2.635626734795143
BRICK2.0,gis,1940,-3.2816102974118477,-2.92716994575342,-2.594402261354017
BRICK2.0,gis,1941,-3.2295648111611808,-2.8801230736606827,-2.5531442394016333
BRICK2.0,gis,1942,-3.177516660849169,-2.8332388662608765,-2.511897637378163
BRICK2.0,gis,1943,-3.1284858871296595,-2.787075192010882,-2.470731567530998
BRICK2.0,gis,1944,-3.0818192788619503,-2.740268582505457,-2.4297209355398417
BRICK2.0,gis,1945,-3.031772808387253,-2.6941659347833946,-2.388684255031639
BRICK2.0,gis,1946,-2.9785159086089257,-2.647469586190693,-2.3458859948970052
BRICK2.0,gis,1947,-2.9246168921931686,-2.5990998061805586,-2.3029421696935914
BRICK2.0,gis,1948,-2.869006452835679,-2.5521738922354524,-2.2599669683545427
BRICK2.0,gis,1949,-2.816611615696922,-2.5053820436057284,-2.2176468931740336
BRICK2.0,gis,1950,-2.761709509525107,-2.4577059679487427,-2.175559414367795
BRICK2.0,gis,1951,-2.707246317727132,-2.4104076540056623,-2.1334780426059377
BRICK2.0,gis,1952,-2.654427590328221,-2.362775762269456,-2.091451266890807
BRICK2.0,gis,1953,-2.601584081239685,-2.313485741747383,-2.049482683567956
BRICK2.0,gis,1954,-2.548138693269368,-2.2641995785242996,-2.0075297015527425
BRICK2.0,gis,1955,-2.494419416832822,-2.2155810488274827,-1.9657131346303147
BRICK2.0,gis,1956,-2.4406994958936075,-2.168738349502461,-1.9238937743434403
BRICK2.0,gis,1957,-2.3869443382262396,-2.12198869095985,-1.8820351115332767
BRICK2.0,gis,1958,-2.3331896461258257,-2.0752119797994046,-1.8401834965711659
BRICK2.0,gis,1959,-2.2792204635773428,-2.0281621740567664,-1.7963166933201025
BRICK2.0,gis,1960,-2.2249753315157745,-1.9808233789539114,-1.7524368464692348
BRICK2.0,gis,1961,-2.170539224962342,-1.9332659620198567,-1.7099163178878465
BRICK2.0,gis,1962,-2.116139688114835,-1.8860325738503296,-1.667506338483105
BRICK2.0,gis,1963,-2.0618438568555604,-1.8380784097361604,-1.625204713183049
BRICK2.0,gis,1964,-2.008140054103074,-1.7901033445284371,-1.5836979166937784
BRICK2.0,gis,1965,-1.9580310521232416,-1.7437706138627722,-1.5429730854602972
BRICK2.0,gis,1966,-1.9107021934024246,-1.6980416680274377,-1.5031492848539678
BRICK2.0,gis,1967,-1.859849070451897,-1.6520990257742345,-1.4632696301642136
BRICK2.0,gis,1968,-1.8084360694232031,-1.604109616368616,-1.4225051934995427
BRICK2.0,gis,1969,-1.7582312945535175,-1.5558119720438945,-1.381114039648852
BRICK2.0,gis,1970,-1.7068895383559617,-1.5077498992483327,-1.337056131929362
BRICK2.0,gis,1971,-1.6537260330920016,-1.459989186118381,-1.294285627227052
BRICK2.0,gis,1972,-1.6004953639705914,-1.4110128146631027,-1.2497735493517066
BRICK2.0,gis,1973,-1.5496414280332158,-1.362719972190598,-1.2071189179305617
BRICK2.0,gis,1974,-1.4975728711642151,-1.3156124419699244,-1.164755451508488
BRICK2.0,gis,1975,-1.4424034862680213,-1.2677027093010236,-1.1220740394069884
BRICK2.0,gis,1976,-1.3888949024723198,-1.218978337910222,-1.0793596424870275
BRICK2.0,gis,1977,-1.3359442911813988,-1.1717088488598724,-1.036773887259199
BRICK2.0,gis,1978,-1.2823934532352046,-1.1242700009647164,-0.9940406514559428
BRICK2.0,gis,1979,-1.228362438884089,-1.0749392941249472,-0.9509848347774305
BRICK2.0,gis,1980,-1.1735050796550697,-1.0259117529289066,-0.9065265851429373
BRICK2.0,gis,1981,-1.1182610033725953,-0.9766938190155319,-0.8625698982151765
BRICK2.0,gis,1982,-1.0615516282522837,-0.9266707018236655,-0.8185799279633245
BRICK2.0,gis,1983,-1.0054589508233285,-0.8764173993043336,-0.7735289321752646
BRICK2.0,gis,1984,-0.9488540850017401,-0.826975933794365,-0.7285138541115321
BRICK2.0,gis,1985,-0.8951455199188876,-0.7779617283334992,-0.6840398184155002
BRICK2.0,gis,1986,-0.8384198304100093,-0.7290691093043353,-0.640555156203237
BRICK2.0,gis,1987,-0.7798856547517834,-0.6790678213119437,-0.5966015187730482
BRICK2.0,gis,1988,-0.7239210647906368,-0.6283784573081874,-0.551856742143208
BRICK2.0,gis,1989,-0.6661668311812255,-0.5775480923618086,-0.5063553879003332
BRICK2.0,gis,1990,-0.6070179355868092,-0.5259141042096416,-0.4606529976114595
