quantity,basin,python,julia,absdiff,tol,window,ssp,tap_onset_K,in_lit_bracket,first_fire_year,k_c,cm2100_med,cm2100_q05,cm2100_q95,m2300_med,m2300_q05,m2300_q95,lit_lo,lit_hi,in_band,ratio_med,ratio_q05,ratio_q95,g4_cm_med,tap_V_m,tap_tau,within_inventory,m2300_SSP1-2.6_med,tap2100_SSP1-2.6_m,m2300_SSP2-4.5_med,tap2100_SSP2-4.5_m,m2300_SSP5-8.5_med,tap2100_SSP5-8.5_m,g4_rel_to_base,headroom_bind_frac,bands_ok,ratio_ok,g4_ok,all_pass
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,14.806631266006256,12.492401135612461,17.614864562782987,26.31439477171801,2.25,50.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,2.7116155407925273,0.1888122996423892,3.54013336893069,0.0,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,13.414959270002145,11.377752900105264,15.900070905184513,17.24458788398764,2.25,100.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,2.4571027397514253,0.09811423076508548,2.31995231245734,0.0,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,10.576967567727323,9.108186130004851,12.37567507043919,12.435355765719969,2.25,200.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.9369333385816292,0.050021909582408736,1.6729557446658219,0.0,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,7.624409539264848,6.758280785053436,8.714187976352203,9.958868633674468,2.25,400.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.3965191470340534,0.02525703826195375,1.3397884873552195,0.0,False,False,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,16.144767592096848,13.56922204907739,19.285492337747225,28.412309212189,2.5,50.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,2.9574865576954563,0.2097914440470991,3.8223704099229887,0.0005,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,14.605337906615153,12.33062410314872,17.36574753678021,18.334746003599705,2.5,100.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,2.674694556538676,0.10901581196120608,2.4666136805081553,0.0005,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,11.452393467479993,9.80196083538649,13.459182690332405,12.991154761080066,2.5,200.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,2.0967285552389026,0.05557989953600971,1.7477286051842464,0.0005,True,True,False,False
tap_cell,high,,,,,,,4.0,False,,1.0,,,,,,,,,,8.168242111697664,7.192210298671575,9.384476925408299,10.239502392140622,2.5,400.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.4962683424082628,0.02806337584661528,1.377542763728022,0.0005,False,True,False,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,4.05465695508653,3.86341399101953,4.309658047302721,7.433164807479095,0.25,50.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.7431232701516655,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,3.883216058765013,3.7091104927750522,4.103711583221948,7.433164807479095,0.25,100.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.7109219942458702,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,3.567226452143497,3.4114951217125697,3.7135731516266968,7.433164807479095,0.25,200.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.6513283214611875,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,3.250266445881043,3.09205290715184,3.3576780740447556,7.433164807479095,0.25,400.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.592626292025692,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,5.388526962013076,4.9621546390042734,5.948842959894766,7.433164807479095,0.5,50.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.9874701516371605,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,5.036158145381716,4.676542749179459,5.516395852827277,7.433164807479095,0.5,100.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.92306759982557,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,4.385062629702055,4.142528525989606,4.715165872281851,7.433164807479095,0.5,200.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.8038802542562046,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,3.7542851075380557,3.5916516089156914,3.9437551376872952,7.433164807479095,0.5,400.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.6864761953852134,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,6.724321827548536,6.038908566027257,7.6000918277750165,7.433164807479095,0.75,50.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.2318170331226557,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,6.19203196503412,5.612390711041878,6.94724700796398,7.433164807479095,0.75,100.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.1352132054052695,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,5.217575989905714,4.823126081457829,5.741433228056343,7.433164807479095,0.75,200.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.9564321870512216,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,4.257435136546508,4.035054128000808,4.5604238423156245,7.433164807479095,0.75,400.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.7803260987447349,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,8.059389044032777,7.105771463796362,9.249489126213215,7.433164807479095,1.0,50.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.4761639146081507,0.0,1.0,0.0,False,True,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,7.357161747617351,6.539573798457881,8.379672731972663,7.433164807479095,1.0,100.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.3473588109849692,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,6.049218204398526,5.496640989022201,6.769418063677869,7.433164807479095,1.0,200.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.1089841198462387,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,4.7695814129223155,4.4609808527330435,5.1859886778403785,7.433164807479095,1.0,400.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.8741760021042564,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,9.397533136538943,8.169613346542189,10.901615763265498,7.433164807479095,1.25,50.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.7205107960936457,0.0,1.0,0.0,False,True,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,8.514912071132182,7.466768847552426,9.80916323104339,7.433164807479095,1.25,100.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.559504416564669,0.0,1.0,0.0,False,True,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,6.886792306681426,6.168336338406833,7.798013432517895,7.433164807479095,1.25,200.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.2615360526412558,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,5.280982251167769,4.874335328680373,5.818233441629257,7.433164807479095,1.25,400.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,0.9680259054637779,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,10.732052088935898,9.229295985932842,12.565579467791526,7.433164807479095,1.5,50.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.9648576775791406,0.0,1.0,0.0,True,True,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,9.675300416208781,8.391986205866846,11.249287663539961,7.433164807479095,1.5,100.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.7716500221443687,0.0,1.0,0.0,True,True,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,7.720504088426765,6.835380501756701,8.832752834353732,7.433164807479095,1.5,200.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.414087985436273,0.0,1.0,0.0,False,False,True,False
tap_cell,high,,,,,,,4.69,False,,1.0,,,,,,,,,,5.7931761572035025,5.28706593445426,6.452254434864317,7.433164807479095,1.5,400.0,True,0.10076712129436026,0.0,0.1831107755008981,0.0,1.0618758088232991,0.0,1.0,0.0,False,False,True,False
