year,ssp,gmst,gsic_med,gsic_lo,gsic_hi
2184,SSP4-6.0,3.9005230829280757,19.509605562540322,15.998099138087225,22.023884461402577
2185,SSP4-6.0,3.9055622533233905,19.560620962099748,16.035246811022084,22.086816123303556
2186,SSP4-6.0,3.9115394811602506,19.617910986345162,16.079209582020106,22.1482126264004
2187,SSP4-6.0,3.917356676788242,19.676461796038282,16.126136308439236,22.219852003008334
2188,SSP4-6.0,3.928985456459429,19.732558852553375,16.17275528287041,22.284896630434293
2189,SSP4-6.0,3.9338379381672643,19.787878216589043,16.219198587778987,22.34849690353977
2190,SSP4-6.0,3.942117738983175,19.845648992725128,16.26531954916344,22.411338143590633
2191,SSP4-6.0,3.944860371594475,19.898251343928116,16.31119773223541,22.47381105240294
2192,SSP4-6.0,3.9465533267458217,19.951362384702023,16.35671604191768,22.535760090413312
2193,SSP4-6.0,3.944358005488887,19.99897770796623,16.401857420481864,22.59716275693782
2194,SSP4-6.0,3.954050674981795,20.055819183287486,16.4469126111735,22.65767051032802
2195,SSP4-6.0,3.961049983458949,20.109926601637227,16.492224770997964,22.716187863837266
2196,SSP4-6.0,3.963500016163961,20.16678405896376,16.53516597139861,22.77789171462055
2197,SSP4-6.0,3.969129198756397,20.224211945649632,16.57606508787118,22.836032645176193
2198,SSP4-6.0,3.9791364497133133,20.275532790838284,16.61665046865018,22.886696253778478
2199,SSP4-6.0,3.9874371612733883,20.32736649805652,16.6570145756731,22.93711950247811
2200,SSP4-6.0,3.9993387939416083,20.37941600578538,16.697125285113064,22.991619552086323
2201,SSP4-6.0,4.007666024907939,20.43024284097381,16.737057343300293,23.059871665178047
2202,SSP4-6.0,4.007353431193892,20.47517324718466,16.77677044063069,23.129988148792993
2203,SSP4-6.0,4.009261174926211,20.524880401207888,16.81625010706421,23.195955923372637
2204,SSP4-6.0,4.0116433652019445,20.57613333872534,16.85536397545476,23.25073023888552
2205,SSP4-6.0,4.01205118068598,20.62445244969097,16.896163111503817,23.300852190385935
2206,SSP4-6.0,4.010815807239482,20.6801894622409,16.945987108181075,23.353056052345057
2207,SSP4-6.0,4.0099697837020685,20.73331052490353,16.995744011793498,23.41239997682133
2208,SSP4-6.0,4.016080095209864,20.789215838204044,17.045299451807107,23.467814702971673
2209,SSP4-6.0,4.021625454650011,20.832779056057504,17.083709999476177,23.53399573292165
2210,SSP4-6.0,4.030469470425893,20.873833667028634,17.11981308531347,23.608551370294485
2211,SSP4-6.0,4.03907679016338,20.916099466381084,17.15576107407201,23.677140889829012
2212,SSP4-6.0,4.042225056310534,20.970278096091675,17.19916488729125,23.73885513550583
2213,SSP4-6.0,4.048671243680167,21.028838537962415,17.242974984270095,23.79557635633201
2214,SSP4-6.0,4.049866222393716,21.082720426183954,17.286564326071577,23.85205760743017
2215,SSP4-6.0,4.053166341721136,21.127620066980185,17.329848648186356,23.908149783031064
2216,SSP4-6.0,4.055628922536006,21.175677547147416,17.37286646409346,23.963920319911235
2217,SSP4-6.0,4.051885506333735,21.227354121843433,17.41560718108436,24.019350023291768
2218,SSP4-6.0,4.05496004255652,21.2760605107241,17.449529173932508,24.086707995244886
2219,SSP4-6.0,4.055972110308168,21.321427147472168,17.481329495671485,24.16480297698233
2220,SSP4-6.0,4.060755488641118,21.37051157775406,17.512808116260228,24.23356104651129
2221,SSP4-6.0,4.065303105128351,21.424283648138065,17.54405037560028,24.289823443733876
2222,SSP4-6.0,4.081966596740623,21.47632900663539,17.57505455930397,24.345712912140602
2223,SSP4-6.0,4.092139086190032,21.524152327442987,17.606080286126755,24.39892268230044
2224,SSP4-6.0,4.10022493303299,21.568292573632625,17.63698817004064,24.434778107742556
2225,SSP4-6.0,4.099424838319363,21.613340575285402,17.66773524651969,24.469921902241566
2226,SSP4-6.0,4.098079710218904,21.66059443035837,17.698137951427043,24.510313214708333
2227,SSP4-6.0,4.096112152637066,21.707476621508007,17.728190100164767,24.558988887716364
2228,SSP4-6.0,4.093666937915198,21.749988819300523,17.757883957653018,24.606138669506603
2229,SSP4-6.0,4.094321273546668,21.78989708517883,17.787214900148854,24.65846902305421
2230,SSP4-6.0,4.095399152160477,21.833268003277784,17.81663285418217,24.710468025992455
2231,SSP4-6.0,4.1003766523610015,21.879158752437547,17.845391052393264,24.761310668319272
2232,SSP4-6.0,4.105270483658011,21.922407638034407,17.871501833643222,24.811703097516233
2233,SSP4-6.0,4.1090430603589185,21.971210231608133,17.90300071456168,24.86189809184318
2234,SSP4-6.0,4.118801399802086,22.01162697607915,17.935810226002488,24.92253700497639
2235,SSP4-6.0,4.125189559142613,22.050604311784433,17.974647959689367,24.987532251110892
2236,SSP4-6.0,4.1239219477105005,22.094641159539233,18.01342856126093,25.05219580602163
2237,SSP4-6.0,4.122904282652354,22.136519252781326,18.052500644804468,25.101970428767252
2238,SSP4-6.0,4.122433080492567,22.17627532348979,18.091290923431597,25.16650340817862
2239,SSP4-6.0,4.121724539140826,22.21701608594251,18.129810218735717,25.23074443727211
