year,ssp,gmst,gsic_med,gsic_lo,gsic_hi
2070,SSP3-7.0,2.5924404203924465,8.602322212860887,7.566783740608931,9.993545516233556
2071,SSP3-7.0,2.6280885936276563,8.784326703276896,7.715840879392679,10.202768096968471
2072,SSP3-7.0,2.6558044465312114,8.966950966536961,7.877954805882688,10.413943640426211
2073,SSP3-7.0,2.689218866654647,9.147774738177098,8.041118090369116,10.635083077430899
2074,SSP3-7.0,2.725210135932741,9.330745412224523,8.201513916571452,10.85801189345627
2075,SSP3-7.0,2.753449291315614,9.516730111434798,8.355350113839062,11.081215446237952
2076,SSP3-7.0,2.78704874962364,9.70368675995843,8.50948398123948,11.283763572871386
2077,SSP3-7.0,2.8178939277064634,9.888682559622701,8.659656309050433,11.48447187400962
2078,SSP3-7.0,2.856170859101523,10.07575786271341,8.816246136431737,11.702656969096125
2079,SSP3-7.0,2.886346081553056,10.264395509140833,8.979535780219987,11.928783616333837
2080,SSP3-7.0,2.926559371283782,10.452779394046,9.13658759254696,12.160730504204057
2081,SSP3-7.0,2.9656112398071635,10.643008474641878,9.303652264198137,12.394796952768793
2082,SSP3-7.0,3.007681724380689,10.833343768060505,9.465026187593415,12.630749445746712
2083,SSP3-7.0,3.0406563821914707,11.023970660832418,9.630011431596845,12.867355599436886
2084,SSP3-7.0,3.075269591396029,11.218745010792103,9.795893645838895,13.093687999446198
2085,SSP3-7.0,3.1099633164719322,11.411057775076703,9.950888875093895,13.326456757742578
2086,SSP3-7.0,3.1421982966692847,11.607208359070633,10.115181637134391,13.554254650251155
2087,SSP3-7.0,3.173283572197702,11.801068676861517,10.287190153060578,13.779762776193861
2088,SSP3-7.0,3.2119829450848565,11.995818159784228,10.461979294211115,14.006044683978706
2089,SSP3-7.0,3.245907407011018,12.192671936044317,10.629814906209162,14.246289319474771
2090,SSP3-7.0,3.286660251378214,12.395826818845046,10.790651523753073,14.481164977559585
2091,SSP3-7.0,3.323452398908396,12.595988898466672,10.952026509450526,14.714047952754457
2092,SSP3-7.0,3.3615156091957368,12.798089147081654,11.1131094134755,14.946758853330532
2093,SSP3-7.0,3.4063574251433963,13.003200279062618,11.27435361512612,15.177479468687475
2094,SSP3-7.0,3.4496227500374648,13.199736135450799,11.436661479055696,15.416051776135742
2095,SSP3-7.0,3.486618876465348,13.404068136897713,11.599416748623,15.656117383460153
2096,SSP3-7.0,3.523331667610749,13.608626773591883,11.768262996368097,15.90817316932512
2097,SSP3-7.0,3.5567768284364036,13.813883100381382,11.941857726080965,16.1504870876011
2098,SSP3-7.0,3.5867617632978908,14.008817525847181,12.12734321636989,16.38637338223955
2099,SSP3-7.0,3.6235449659680152,14.21295944368772,12.295938983694791,16.62086012759099
2100,SSP3-7.0,3.6597880844773636,14.425502384526515,12.459269060624553,16.859650562428236
2101,SSP3-7.0,3.7032400631140217,14.626896869232535,12.620735017336239,17.10790984263324
2102,SSP3-7.0,3.747022653831755,14.829651072496425,12.787394321545756,17.356987787579815
2103,SSP3-7.0,3.7887861981373283,15.034412631141905,12.945453447189,17.593911557607868
2104,SSP3-7.0,3.833148937953243,15.247327499613654,13.119979947748723,17.82685025136108
2105,SSP3-7.0,3.8633473696315637,15.457516704003247,13.279560715703491,18.05954258436127
2106,SSP3-7.0,3.895819375712043,15.671733419991586,13.432439677181632,18.303190527732237
2107,SSP3-7.0,3.925624226742738,15.88440837523742,13.580391755938082,18.54919974795397
2108,SSP3-7.0,3.962346884406422,16.087348266804945,13.747709729963821,18.795002705396097
2109,SSP3-7.0,3.994520534236911,16.302561998921835,13.916939578050707,19.051645097862174
2110,SSP3-7.0,4.0300040480930805,16.511201897884654,14.07281936698792,19.309893827731845
2111,SSP3-7.0,4.064845882790667,16.719678857120293,14.217612432045863,19.568214352694167
2112,SSP3-7.0,4.103686568408565,16.929751673038755,14.38131532725597,19.825853926738752
2113,SSP3-7.0,4.139849619016467,17.144077923570617,14.53583932539102,20.084963246462955
2114,SSP3-7.0,4.179428896474911,17.35074416073528,14.7047962432131,20.33014819941946
2115,SSP3-7.0,4.213658221481463,17.55536832439646,14.866276634484691,20.54953016127164
2116,SSP3-7.0,4.243136857766121,17.76347169455964,15.003492296459,20.79389017512817
2117,SSP3-7.0,4.271321411361135,17.967608450102894,15.144157693682535,21.05113053071352
2118,SSP3-7.0,4.293229110517557,18.17935368004706,15.29799361911146,21.30766774232003
2119,SSP3-7.0,4.3218594190565875,18.384176888057524,15.43903887717139,21.566801509628498
2120,SSP3-7.0,4.353487379599275,18.590127169311067,15.5779484304033,21.817745038134664
2121,SSP3-7.0,4.378530779398466,18.799899175739103,15.71689403129451,22.062978193035864
2122,SSP3-7.0,4.415659133350471,19.00945138428071,15.868637970490175,22.31183328226715
2123,SSP3-7.0,4.450087024385811,19.202907418334284,16.021279571489213,22.581816409044684
2124,SSP3-7.0,4.481269768608608,19.408793074868722,16.16465923984915,22.82995494530555
2125,SSP3-7.0,4.5071648753591,19.605872690397035,16.307014346765733,23.074371257633693
2126,SSP3-7.0,4.530897005191067,19.817403853435422,16.450363792722978,23.317095909920084
2127,SSP3-7.0,4.555124912472379,20.0274982080617,16.590295127239113,23.558705722874187
2128,SSP3-7.0,4.5807768978625605,20.234978013452867,16.726119673997523,23.799610520973474
2129,SSP3-7.0,4.606984386172624,20.415204422663216,16.867292019722008,24.03947044395209
2130,SSP3-7.0,4.622998416826921,20.613771704565202,17.00786163569327,24.275030478175804
2131,SSP3-7.0,4.651905193628299,20.815747534781465,17.147004274128427,24.504844958145583
2132,SSP3-7.0,4.688012162873798,21.010991855613675,17.285931200557535,24.751613174239456
