year,component,med_diff_cm,p05_diff_cm,p95_diff_cm
2169,gis,0.020975523205142288,0.014516026668378857,0.033759771585801165
2170,gis,0.0210241599014358,0.014537597314097806,0.03379475585561442
2171,gis,0.021076136624415653,0.01455396765728052,0.03379203028250561
2172,gis,0.021126830937388874,0.014578033000440716,0.033889470716452846
2173,gis,0.021186190218139167,0.014590931293522581,0.03401595054988177
2174,gis,0.021246942807295888,0.014612461502092432,0.03414001284389973
2175,gis,0.0213327349941288,0.014663906575153885,0.034257960065167035
2176,gis,0.021394243778138033,0.014715166697970438,0.034328715292994076
2177,gis,0.021458569668147298,0.014747598033218436,0.034395651290780545
2178,gis,0.021516130190960325,0.014788924673336368,0.03445616872546697
2179,gis,0.021569817770088484,0.014823956509828928,0.03461259480622196
2180,gis,0.021620545335879093,0.014850761870572349,0.034756968377617346
2181,gis,0.021683230361275285,0.01483468046406049,0.034783514463674774
2182,gis,0.021739234676975805,0.01484483474888192,0.03486445266203439
2183,gis,0.02177499742388811,0.01484604262161886,0.03490512805375498
2184,gis,0.021819834618218792,0.014859039200391244,0.03507650396617308
2185,gis,0.021876633349258157,0.01487044315201418,0.035221717432927055
2186,gis,0.02193571730305255,0.014878410556563448,0.03532354946661176
2187,gis,0.02198491903414812,0.01487185829723856,0.03537448821922337
2188,gis,0.022023912347406416,0.014866526566453686,0.035382267771201896
2189,gis,0.02206106835602739,0.014875418427802779,0.03548626576915685
2190,gis,0.02209297633098828,0.014869694971253632,0.03561517901386324
2191,gis,0.02213628366121778,0.01486317833719335,0.03574508861118275
2192,gis,0.022170899454158288,0.014810422026400705,0.03587382088081501
2193,gis,0.022209170482645035,0.01483000000487049,0.03591687776463415
2194,gis,0.022250360623130128,0.014846657136992559,0.035984856011571864
2195,gis,0.02230335500234304,0.014830991336350241,0.03607338436231871
2196,gis,0.022370027033622897,0.014787559675038864,0.036133094262153165
2197,gis,0.02243664418173541,0.014783038885247278,0.03619239548178416
2198,gis,0.022476448795513804,0.014758599636413993,0.03628963777109604
2199,gis,0.022501189570319546,0.01476800400034035,0.03631453066730721
2200,gis,0.022518407724259504,0.014777020946517361,0.03636815961685524
2201,gis,0.02253944121618634,0.014739723432943297,0.03643217603880923
2202,gis,0.022557279247088502,0.01474236208815185,0.03650185520158735
2203,gis,0.022596694034322518,0.014725724946434583,0.03656972668790485
2204,gis,0.0226302379013692,0.014702308719876989,0.036636875238928196
2205,gis,0.022634261993173865,0.014671099780698426,0.03673733341049718
2206,gis,0.022647619065770286,0.014670770755147977,0.03683991224415468
2207,gis,0.0226947798940369,0.014658604224874328,0.03688865353505556
2208,gis,0.02271669481769578,0.014640144882592398,0.03692872512211042
2209,gis,0.022709616597039073,0.014620579298838799,0.03701301526745926
2210,gis,0.022739759566110074,0.01459888074620359,0.03703820220286982
2211,gis,0.02273819772284469,0.014582247772378664,0.03706296843723136
2212,gis,0.02274340361179128,0.014571936034775846,0.037109766956980025
2213,gis,0.022728034265842467,0.01454609389084398,0.03715344669188578
2214,gis,0.02274141560037002,0.014520529263292926,0.037195292145010675
2215,gis,0.022766525552341932,0.014509370905907116,0.03719342417527072
2216,gis,0.02280661319114774,0.014498422705589499,0.03720435637105694
2217,gis,0.02279077610189706,0.014500480512682401,0.03729527409639388
2218,gis,0.022792800194676666,0.014456915420548631,0.03724670519228982
2219,gis,0.022803944950543276,0.01443834760082705,0.03719406505481312
2220,gis,0.022779004265525593,0.014418116169575246,0.03716897191832168
