rff_idx,fair_cfg_idx,seed_idx,post_idx,axis
204,637,0,1,anova27k_brick
204,637,0,5001,anova27k_brick
204,637,0,10000,anova27k_brick
204,637,1,1,anova27k_brick
204,637,1,5001,anova27k_brick
204,637,1,10000,anova27k_brick
204,637,2,1,anova27k_brick
204,637,2,5001,anova27k_brick
204,637,2,10000,anova27k_brick
204,666,0,1,anova27k_brick
204,666,0,5001,anova27k_brick
204,666,0,10000,anova27k_brick
204,666,1,1,anova27k_brick
204,666,1,5001,anova27k_brick
204,666,1,10000,anova27k_brick
204,666,2,1,anova27k_brick
204,666,2,5001,anova27k_brick
204,666,2,10000,anova27k_brick
204,695,0,1,anova27k_brick
204,695,0,5001,anova27k_brick
204,695,0,10000,anova27k_brick
204,695,1,1,anova27k_brick
204,695,1,5001,anova27k_brick
204,695,1,10000,anova27k_brick
204,695,2,1,anova27k_brick
204,695,2,5001,anova27k_brick
204,695,2,10000,anova27k_brick
204,724,0,1,anova27k_brick
204,724,0,5001,anova27k_brick
204,724,0,10000,anova27k_brick
204,724,1,1,anova27k_brick
204,724,1,5001,anova27k_brick
204,724,1,10000,anova27k_brick
204,724,2,1,anova27k_brick
204,724,2,5001,anova27k_brick
204,724,2,10000,anova27k_brick
204,753,0,1,anova27k_brick
204,753,0,5001,anova27k_brick
204,753,0,10000,anova27k_brick
204,753,1,1,anova27k_brick
204,753,1,5001,anova27k_brick
204,753,1,10000,anova27k_brick
204,753,2,1,anova27k_brick
204,753,2,5001,anova27k_brick
204,753,2,10000,anova27k_brick
204,782,0,1,anova27k_brick
204,782,0,5001,anova27k_brick
204,782,0,10000,anova27k_brick
204,782,1,1,anova27k_brick
204,782,1,5001,anova27k_brick
204,782,1,10000,anova27k_brick
204,782,2,1,anova27k_brick
204,782,2,5001,anova27k_brick
204,782,2,10000,anova27k_brick
204,811,0,1,anova27k_brick
204,811,0,5001,anova27k_brick
204,811,0,10000,anova27k_brick
204,811,1,1,anova27k_brick
204,811,1,5001,anova27k_brick
204,811,1,10000,anova27k_brick
204,811,2,1,anova27k_brick
204,811,2,5001,anova27k_brick
204,811,2,10000,anova27k_brick
204,840,0,1,anova27k_brick
204,840,0,5001,anova27k_brick
204,840,0,10000,anova27k_brick
204,840,1,1,anova27k_brick
204,840,1,5001,anova27k_brick
204,840,1,10000,anova27k_brick
204,840,2,1,anova27k_brick
204,840,2,5001,anova27k_brick
204,840,2,10000,anova27k_brick
244,0,0,1,anova27k_brick
244,0,0,5001,anova27k_brick
244,0,0,10000,anova27k_brick
244,0,1,1,anova27k_brick
244,0,1,5001,anova27k_brick
244,0,1,10000,anova27k_brick
244,0,2,1,anova27k_brick
244,0,2,5001,anova27k_brick
244,0,2,10000,anova27k_brick
244,29,0,1,anova27k_brick
244,29,0,5001,anova27k_brick
244,29,0,10000,anova27k_brick
244,29,1,1,anova27k_brick
244,29,1,5001,anova27k_brick
244,29,1,10000,anova27k_brick
244,29,2,1,anova27k_brick
244,29,2,5001,anova27k_brick
244,29,2,10000,anova27k_brick
244,58,0,1,anova27k_brick
244,58,0,5001,anova27k_brick
